#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.725182E+07   0.725181E+07   0.958308E+07   0.958274E+07   0.725212E+07   0.725182E+07   0.725182E+07   0.725618E+07  -0.592259E+00   0.697228E+07   0.697228E+07   0.101344E+00
   0.798228E-04   0.725175E+07   0.725175E+07   0.956170E+07   0.956129E+07   0.725196E+07   0.725175E+07   0.725175E+07   0.725611E+07  -0.592252E+00   0.697222E+07   0.697222E+07   0.113240E+00
   0.892035E-04   0.725167E+07   0.725167E+07   0.953507E+07   0.953455E+07   0.725175E+07   0.725167E+07   0.725167E+07   0.725601E+07  -0.592244E+00   0.697214E+07   0.697214E+07   0.126528E+00
   0.996866E-04   0.725156E+07   0.725156E+07   0.950190E+07   0.950126E+07   0.725150E+07   0.725156E+07   0.725156E+07   0.725589E+07  -0.592233E+00   0.697204E+07   0.697204E+07   0.141370E+00
   0.111402E-03   0.725144E+07   0.725143E+07   0.946064E+07   0.945984E+07   0.725118E+07   0.725143E+07   0.725144E+07   0.725574E+07  -0.592221E+00   0.697191E+07   0.697191E+07   0.157946E+00
   0.124493E-03   0.725128E+07   0.725127E+07   0.940934E+07   0.940835E+07   0.725078E+07   0.725126E+07   0.725128E+07   0.725555E+07  -0.592205E+00   0.697175E+07   0.697175E+07   0.176455E+00
   0.139124E-03   0.725108E+07   0.725107E+07   0.934565E+07   0.934442E+07   0.725028E+07   0.725106E+07   0.725107E+07   0.725531E+07  -0.592185E+00   0.697156E+07   0.697156E+07   0.197118E+00
   0.155474E-03   0.725083E+07   0.725082E+07   0.926667E+07   0.926516E+07   0.724965E+07   0.725080E+07   0.725083E+07   0.725502E+07  -0.592160E+00   0.697132E+07   0.697132E+07   0.220181E+00
   0.173745E-03   0.725052E+07   0.725051E+07   0.916893E+07   0.916706E+07   0.724888E+07   0.725048E+07   0.725051E+07   0.725465E+07  -0.592129E+00   0.697101E+07   0.697101E+07   0.245914E+00
   0.194163E-03   0.725013E+07   0.725012E+07   0.904823E+07   0.904594E+07   0.724790E+07   0.725008E+07   0.725013E+07   0.725420E+07  -0.592090E+00   0.697063E+07   0.697063E+07   0.274616E+00
   0.216981E-03   0.724964E+07   0.724964E+07   0.889960E+07   0.889680E+07   0.724669E+07   0.724958E+07   0.724964E+07   0.725363E+07  -0.592042E+00   0.697016E+07   0.697016E+07   0.306613E+00
   0.242480E-03   0.724904E+07   0.724903E+07   0.871722E+07   0.871382E+07   0.724518E+07   0.724896E+07   0.724904E+07   0.725292E+07  -0.591982E+00   0.696957E+07   0.696957E+07   0.342266E+00
   0.270976E-03   0.724829E+07   0.724828E+07   0.849443E+07   0.849033E+07   0.724330E+07   0.724818E+07   0.724829E+07   0.725205E+07  -0.591908E+00   0.696884E+07   0.696884E+07   0.381961E+00
   0.302821E-03   0.724735E+07   0.724734E+07   0.822377E+07   0.821888E+07   0.724095E+07   0.724721E+07   0.724735E+07   0.725096E+07  -0.591816E+00   0.696792E+07   0.696792E+07   0.426121E+00
   0.338408E-03   0.724619E+07   0.724618E+07   0.789727E+07   0.789149E+07   0.723803E+07   0.724601E+07   0.724619E+07   0.724961E+07  -0.591701E+00   0.696678E+07   0.696678E+07   0.475194E+00
   0.378178E-03   0.724475E+07   0.724473E+07   0.750687E+07   0.750014E+07   0.723439E+07   0.724452E+07   0.724474E+07   0.724794E+07  -0.591559E+00   0.696537E+07   0.696537E+07   0.529661E+00
   0.422621E-03   0.724295E+07   0.724293E+07   0.704524E+07   0.703757E+07   0.722986E+07   0.724266E+07   0.724295E+07   0.724587E+07  -0.591384E+00   0.696361E+07   0.696361E+07   0.590020E+00
