#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.404285E+06   0.404048E+06   0.411656E+06   0.405213E+06   0.383828E+06   0.403731E+06   0.404254E+06   0.406663E+06  -0.594183E+00   0.402973E+06   0.402935E+06   0.297391E+02
   0.200226E-02   0.403459E+06   0.403163E+06   0.383655E+06   0.376271E+06   0.376829E+06   0.402738E+06   0.403420E+06   0.405471E+06  -0.592344E+00   0.402072E+06   0.402025E+06   0.330875E+02
   0.223756E-02   0.402440E+06   0.402072E+06   0.351106E+06   0.342842E+06   0.368366E+06   0.401520E+06   0.402392E+06   0.404021E+06  -0.590102E+00   0.400961E+06   0.400903E+06   0.367765E+02
   0.250052E-02   0.401190E+06   0.400730E+06   0.313980E+06   0.305022E+06   0.358215E+06   0.400029E+06   0.401129E+06   0.402266E+06  -0.587386E+00   0.399596E+06   0.399523E+06   0.408283E+02
   0.279438E-02   0.399659E+06   0.399087E+06   0.272659E+06   0.263355E+06   0.346162E+06   0.398215E+06   0.399584E+06   0.400158E+06  -0.584117E+00   0.397925E+06   0.397835E+06   0.452633E+02
   0.312277E-02   0.397796E+06   0.397084E+06   0.228107E+06   0.219007E+06   0.332027E+06   0.396020E+06   0.397702E+06   0.397645E+06  -0.580214E+00   0.395890E+06   0.395779E+06   0.500984E+02
   0.348976E-02   0.395541E+06   0.394654E+06   0.182037E+06   0.173893E+06   0.315705E+06   0.393381E+06   0.395424E+06   0.394678E+06  -0.575599E+00   0.393426E+06   0.393289E+06   0.553473E+02
   0.389987E-02   0.392828E+06   0.391725E+06   0.136992E+06   0.130691E+06   0.297212E+06   0.390237E+06   0.392683E+06   0.391213E+06  -0.570204E+00   0.390463E+06   0.390294E+06   0.610194E+02
   0.435818E-02   0.389592E+06   0.388220E+06   0.962181E+05   0.925913E+05   0.276749E+06   0.386524E+06   0.389411E+06   0.387210E+06  -0.563974E+00   0.386931E+06   0.386723E+06   0.671215E+02
   0.487035E-02   0.385764E+06   0.384062E+06   0.631700E+05   0.626813E+05   0.254745E+06   0.382189E+06   0.385540E+06   0.382639E+06  -0.556875E+00   0.382761E+06   0.382507E+06   0.736590E+02
   0.492476E-02   0.385347E+06   0.383607E+06   0.604079E+05   0.602321E+05   0.252484E+06   0.381719E+06   0.385117E+06   0.382149E+06  -0.556117E+00   0.382307E+06   0.382047E+06   0.743369E+02
   0.497979E-02   0.384922E+06   0.383145E+06   0.577538E+05   0.578872E+05   0.250215E+06   0.381243E+06   0.384688E+06   0.381654E+06  -0.555350E+00   0.381846E+06   0.381580E+06   0.750193E+02
   0.503543E-02   0.384491E+06   0.382675E+06   0.552095E+05   0.556473E+05   0.247939E+06   0.380760E+06   0.384252E+06   0.381153E+06  -0.554574E+00   0.381377E+06   0.381107E+06   0.757061E+02
   0.509169E-02   0.384054E+06   0.382198E+06   0.527765E+05   0.535127E+05   0.245657E+06   0.380270E+06   0.383809E+06   0.380646E+06  -0.553789E+00   0.380902E+06   0.380626E+06   0.763973E+02
   0.514858E-02   0.383609E+06   0.381713E+06   0.504559E+05   0.514838E+05   0.243369E+06   0.379773E+06   0.383359E+06   0.380132E+06  -0.552996E+00   0.380419E+06   0.380137E+06   0.770931E+02
   0.520610E-02   0.383158E+06   0.381221E+06   0.482488E+05   0.495602E+05   0.241077E+06   0.379269E+06   0.382903E+06   0.379613E+06  -0.552193E+00   0.379929E+06   0.379641E+06   0.777933E+02
   0.526427E-02   0.382700E+06   0.380721E+06   0.461559E+05   0.477416E+05   0.238782E+06   0.378758E+06   0.382439E+06   0.379087E+06  -0.551382E+00   0.379432E+06   0.379138E+06   0.784979E+02
   0.532309E-02   0.382235E+06   0.380213E+06   0.441774E+05   0.460274E+05   0.236484E+06   0.378241E+06   0.381968E+06   0.378556E+06  -0.550562E+00   0.378927E+06   0.378628E+06   0.792071E+02
   0.538256E-02   0.381763E+06   0.379697E+06   0.423137E+05   0.444164E+05   0.234184E+06   0.377716E+06   0.381490E+06   0.378018E+06  -0.549733E+00   0.378415E+06   0.378110E+06   0.799208E+02
   0.544270E-02   0.381284E+06   0.379173E+06   0.405643E+05   0.429073E+05   0.231883E+06   0.377185E+06   0.381006E+06   0.377474E+06  -0.548895E+00   0.377896E+06   0.377585E+06   0.806390E+02
   0.550352E-02   0.380798E+06   0.378641E+06   0.389288E+05   0.414985E+05   0.229583E+06   0.376646E+06   0.380513E+06   0.376924E+06  -0.548049E+00   0.377370E+06   0.377052E+06   0.813617E+02
   0.556501E-02   0.380304E+06   0.378101E+06   0.374063E+05   0.401880E+05   0.227284E+06   0.376101E+06   0.380014E+06   0.376367E+06  -0.547193E+00   0.376836E+06   0.376511E+06   0.820890E+02
   0.562719E-02   0.379804E+06   0.377553E+06   0.359956E+05   0.389735E+05   0.224988E+06   0.375548E+06   0.379507E+06   0.375805E+06  -0.546329E+00   0.376294E+06   0.375963E+06   0.828208E+02
   0.569006E-02   0.379296E+06   0.376997E+06   0.346951E+05   0.378524E+05   0.222695E+06   0.374989E+06   0.378993E+06   0.375236E+06  -0.545456E+00   0.375745E+06   0.375408E+06   0.835572E+02
   0.575363E-02   0.378781E+06   0.376432E+06   0.335028E+05   0.368217E+05   0.220406E+06   0.374422E+06   0.378472E+06   0.374660E+06  -0.544574E+00   0.375188E+06   0.374844E+06   0.842982E+02
   0.581792E-02   0.378259E+06   0.375859E+06   0.324165E+05   0.358784E+05   0.218122E+06   0.373848E+06   0.377943E+06   0.374079E+06  -0.543683E+00   0.374624E+06   0.374273E+06   0.850438E+02
   0.588292E-02   0.377729E+06   0.375278E+06   0.314336E+05   0.350187E+05   0.215845E+06   0.373267E+06   0.377406E+06   0.373491E+06  -0.542784E+00   0.374053E+06   0.373694E+06   0.857940E+02
   0.594865E-02   0.377192E+06   0.374688E+06   0.305510E+05   0.342388E+05   0.213575E+06   0.372679E+06   0.376862E+06   0.372896E+06  -0.541876E+00   0.373473E+06   0.373108E+06   0.865488E+02
   0.601512E-02   0.376648E+06   0.374090E+06   0.297653E+05   0.335348E+05   0.211313E+06   0.372083E+06   0.376310E+06   0.372295E+06  -0.540958E+00   0.372886E+06   0.372514E+06   0.873083E+02
   0.608233E-02   0.376096E+06   0.373483E+06   0.290728E+05   0.329021E+05   0.209060E+06   0.371480E+06   0.375751E+06   0.371688E+06  -0.540032E+00   0.372292E+06   0.371911E+06   0.880725E+02
   0.615028E-02   0.375536E+06   0.372867E+06   0.284695E+05   0.323362E+05   0.206818E+06   0.370871E+06   0.375184E+06   0.371073E+06  -0.539098E+00   0.371689E+06   0.371302E+06   0.888413E+02
   0.621900E-02   0.374969E+06   0.372243E+06   0.279510E+05   0.318322E+05   0.204587E+06   0.370254E+06   0.374610E+06   0.370453E+06  -0.538154E+00   0.371080E+06   0.370684E+06   0.896148E+02
   0.628849E-02   0.374394E+06   0.371610E+06   0.275124E+05   0.313851E+05   0.202368E+06   0.369629E+06   0.374027E+06   0.369825E+06  -0.537201E+00   0.370462E+06   0.370058E+06   0.903930E+02
   0.635875E-02   0.373812E+06   0.370968E+06   0.271488E+05   0.309895E+05   0.200162E+06   0.368998E+06   0.373437E+06   0.369191E+06  -0.536240E+00   0.369836E+06   0.369425E+06   0.911760E+02
   0.642980E-02   0.373222E+06   0.370317E+06   0.268548E+05   0.306401E+05   0.197970E+06   0.368359E+06   0.372839E+06   0.368550E+06  -0.535269E+00   0.369203E+06   0.368784E+06   0.919636E+02
   0.650164E-02   0.372624E+06   0.369657E+06   0.266248E+05   0.303315E+05   0.195793E+06   0.367713E+06   0.372233E+06   0.367902E+06  -0.534289E+00   0.368563E+06   0.368135E+06   0.927561E+02
   0.657428E-02   0.372019E+06   0.368988E+06   0.264530E+05   0.300579E+05   0.193632E+06   0.367059E+06   0.371619E+06   0.367248E+06  -0.533301E+00   0.367914E+06   0.367478E+06   0.935532E+02
   0.664773E-02   0.371406E+06   0.368311E+06   0.263332E+05   0.298137E+05   0.191487E+06   0.366399E+06   0.370998E+06   0.366586E+06  -0.532303E+00   0.367258E+06   0.366813E+06   0.943551E+02
   0.672201E-02   0.370785E+06   0.367624E+06   0.262591E+05   0.295932E+05   0.189359E+06   0.365730E+06   0.370368E+06   0.365918E+06  -0.531296E+00   0.366594E+06   0.366140E+06   0.951618E+02
   0.679711E-02   0.370156E+06   0.366928E+06   0.262245E+05   0.293908E+05   0.187249E+06   0.365055E+06   0.369730E+06   0.365242E+06  -0.530281E+00   0.365922E+06   0.365459E+06   0.959733E+02
   0.687306E-02   0.369519E+06   0.366222E+06   0.262226E+05   0.292008E+05   0.185158E+06   0.364372E+06   0.369085E+06   0.364559E+06  -0.529256E+00   0.365243E+06   0.364771E+06   0.967896E+02
   0.694985E-02   0.368875E+06   0.365508E+06   0.262468E+05   0.290177E+05   0.183086E+06   0.363682E+06   0.368431E+06   0.363869E+06  -0.528221E+00   0.364556E+06   0.364074E+06   0.976107E+02
   0.702750E-02   0.368222E+06   0.364784E+06   0.262906E+05   0.288362E+05   0.181034E+06   0.362985E+06   0.367769E+06   0.363172E+06  -0.527178E+00   0.363861E+06   0.363370E+06   0.984365E+02
   0.710602E-02   0.367562E+06   0.364050E+06   0.263471E+05   0.286510E+05   0.179002E+06   0.362280E+06   0.367099E+06   0.362467E+06  -0.526124E+00   0.363158E+06   0.362657E+06   0.992672E+02
   0.718542E-02   0.366893E+06   0.363308E+06   0.264098E+05   0.284573E+05   0.176991E+06   0.361567E+06   0.366421E+06   0.361755E+06  -0.525062E+00   0.362447E+06   0.361937E+06   0.100103E+03
   0.726570E-02   0.366217E+06   0.362555E+06   0.264722E+05   0.282503E+05   0.175002E+06   0.360848E+06   0.365734E+06   0.361036E+06  -0.523990E+00   0.361729E+06   0.361209E+06   0.100943E+03
   0.734688E-02   0.365533E+06   0.361794E+06   0.265278E+05   0.280258E+05   0.173034E+06   0.360120E+06   0.365040E+06   0.360309E+06  -0.522908E+00   0.361003E+06   0.360473E+06   0.101788E+03
   0.742897E-02   0.364840E+06   0.361022E+06   0.265705E+05   0.277797E+05   0.171088E+06   0.359386E+06   0.364337E+06   0.359575E+06  -0.521817E+00   0.360270E+06   0.359728E+06   0.102638E+03
   0.751197E-02   0.364140E+06   0.360241E+06   0.265943E+05   0.275084E+05   0.169164E+06   0.358644E+06   0.363626E+06   0.358833E+06  -0.520716E+00   0.359528E+06   0.358976E+06   0.103492E+03
