#    L    TT             EE             BB             TE          
     2    0.79937E+03    0.33099E-05    0.22218E-05    0.24269E-01
     3    0.78568E+03    0.96018E-05    0.44442E-05    0.54626E-01
     4    0.76798E+03    0.22294E-04    0.74082E-05    0.93058E-01
     5    0.75542E+03    0.44753E-04    0.11114E-04    0.13893E+00
     6    0.74807E+03    0.80963E-04    0.15564E-04    0.19160E+00
     7    0.74487E+03    0.13551E-03    0.20757E-04    0.25045E+00
     8    0.74464E+03    0.21348E-03    0.26696E-04    0.31483E+00
     9    0.74694E+03    0.32041E-03    0.33381E-04    0.38420E+00
    10    0.75095E+03    0.46217E-03    0.40814E-04    0.45772E+00
    11    0.75606E+03    0.64551E-03    0.48996E-04    0.53489E+00
    12    0.76344E+03    0.98129E-03    0.57928E-04    0.61574E+00
    13    0.77157E+03    0.11635E-02    0.67613E-04    0.69898E+00
    14    0.77962E+03    0.14825E-02    0.78051E-04    0.78208E+00
    15    0.78816E+03    0.19260E-02    0.89244E-04    0.86615E+00
    16    0.79791E+03    0.24005E-02    0.10119E-03    0.95309E+00
    17    0.80891E+03    0.30090E-02    0.11390E-03    0.10409E+01
    18    0.82028E+03    0.37030E-02    0.12737E-03    0.11287E+01
    19    0.83290E+03    0.44773E-02    0.14160E-03    0.12164E+01
    20    0.84513E+03    0.53836E-02    0.15659E-03    0.13015E+01
    21    0.85740E+03    0.63893E-02    0.17235E-03    0.13840E+01
    22    0.87002E+03    0.75270E-02    0.18887E-03    0.14635E+01
    23    0.88283E+03    0.88160E-02    0.20616E-03    0.15399E+01
    24    0.89589E+03    0.10240E-01    0.22422E-03    0.16130E+01
    25    0.90916E+03    0.11829E-01    0.24305E-03    0.16818E+01
    26    0.92248E+03    0.13582E-01    0.26264E-03    0.17465E+01
    27    0.93609E+03    0.15497E-01    0.28301E-03    0.18056E+01
    28    0.94986E+03    0.17597E-01    0.30416E-03    0.18589E+01
    29    0.96388E+03    0.19884E-01    0.32608E-03    0.19061E+01
    30    0.97805E+03    0.22367E-01    0.34877E-03    0.19462E+01
    31    0.99222E+03    0.25060E-01    0.37224E-03    0.19792E+01
    32    0.10066E+04    0.27966E-01    0.39648E-03    0.20050E+01
    33    0.10212E+04    0.31089E-01    0.42150E-03    0.20228E+01
    34    0.10358E+04    0.34443E-01    0.44730E-03    0.20323E+01
    35    0.10506E+04    0.38032E-01    0.47388E-03    0.20341E+01
    36    0.10654E+04    0.41863E-01    0.50123E-03    0.20278E+01
    37    0.10803E+04    0.45942E-01    0.52936E-03    0.20110E+01
    38    0.10954E+04    0.50278E-01    0.55827E-03    0.19835E+01
    39    0.11109E+04    0.54870E-01    0.58796E-03    0.19459E+01
    40    0.11263E+04    0.59721E-01    0.61842E-03    0.18987E+01
    41    0.11420E+04    0.64839E-01    0.64967E-03    0.18421E+01
    42    0.11576E+04    0.70235E-01    0.68169E-03    0.17750E+01
    43    0.11733E+04    0.75921E-01    0.71449E-03    0.16961E+01
    44    0.11890E+04    0.81895E-01    0.74806E-03    0.16049E+01
    45    0.12049E+04    0.88163E-01    0.78242E-03    0.15012E+01
    46    0.12211E+04    0.94733E-01    0.81754E-03    0.13827E+01
    47    0.12374E+04    0.10160E+00    0.85345E-03    0.12507E+01
    48    0.12537E+04    0.10876E+00    0.89013E-03    0.11095E+01
    49    0.12701E+04    0.11619E+00    0.92758E-03    0.96304E+00
    50    0.12868E+04    0.12386E+00    0.96580E-03    0.80848E+00
    51    0.13036E+04    0.13174E+00    0.10048E-02    0.64139E+00
    52    0.13208E+04    0.13991E+00    0.10446E-02    0.45700E+00
    53    0.13379E+04    0.14853E+00    0.10851E-02    0.25229E+00
    54    0.13549E+04    0.15758E+00    0.11264E-02    0.32204E-01
    55    0.13720E+04    0.16705E+00    0.11685E-02   -0.19820E+00
    56    0.13895E+04    0.17680E+00    0.12114E-02   -0.44013E+00
    57    0.14071E+04    0.18672E+00    0.12550E-02   -0.69348E+00
    58    0.14251E+04    0.19681E+00    0.12994E-02   -0.95911E+00
    59    0.14432E+04    0.20712E+00    0.13445E-02   -0.12379E+01
    60    0.14614E+04    0.21768E+00    0.13904E-02   -0.15292E+01
    61    0.14800E+04    0.22859E+00    0.14371E-02   -0.18322E+01
    62    0.14985E+04    0.23983E+00    0.14846E-02   -0.21481E+01
    63    0.15171E+04    0.25138E+00    0.15328E-02   -0.24776E+01
    64    0.15361E+04    0.26323E+00    0.15818E-02   -0.28221E+01
    65    0.15550E+04    0.27538E+00    0.16315E-02   -0.31822E+01
    66    0.15743E+04    0.28773E+00    0.16820E-02   -0.35560E+01
    67    0.15936E+04    0.30031E+00    0.17333E-02   -0.39410E+01
    68    0.16134E+04    0.31314E+00    0.17853E-02   -0.43356E+01
    69    0.16333E+04    0.32619E+00    0.18381E-02   -0.47383E+01
    70    0.16536E+04    0.33949E+00    0.18917E-02   -0.51509E+01
    71    0.16739E+04    0.35303E+00    0.19460E-02   -0.55760E+01
    72    0.16945E+04    0.36677E+00    0.20011E-02   -0.60146E+01
    73    0.17151E+04    0.38070E+00    0.20569E-02   -0.64670E+01
    74    0.17359E+04    0.39479E+00    0.21135E-02   -0.69320E+01
    75    0.17570E+04    0.40905E+00    0.21709E-02   -0.74079E+01
