# L    TT    EE    BB    TE
2 8.31728E+02 2.39870E-06 1.40620E-06 2.18037E-02
3 7.97444E+02 7.50400E-06 2.81283E-06 4.96465E-02
4 7.66397E+02 1.82015E-05 4.68903E-06 8.48524E-02
5 7.44485E+02 3.75178E-05 7.03532E-06 1.26732E-01
6 7.30482E+02 6.90443E-05 9.85233E-06 1.74717E-01
7 7.22448E+02 1.16889E-04 1.31406E-05 2.28244E-01
8 7.18528E+02 1.85589E-04 1.69015E-05 2.86622E-01
9 7.17925E+02 2.80210E-04 2.11359E-05 3.49372E-01
10 7.19849E+02 4.05967E-04 2.58448E-05 4.15793E-01
11 7.23672E+02 5.68854E-04 3.10291E-05 4.85398E-01
12 7.29498E+02 7.74813E-04 3.66895E-05 5.58027E-01
13 7.36433E+02 1.03019E-03 4.28279E-05 6.32340E-01
14 7.44369E+02 1.34110E-03 4.94461E-05 7.07993E-01
15 7.53122E+02 1.71489E-03 5.65440E-05 7.84346E-01
16 7.62948E+02 2.15900E-03 6.41235E-05 8.61657E-01
17 7.73394E+02 2.68061E-03 7.21862E-05 9.38587E-01
18 7.84116E+02 3.28576E-03 8.07323E-05 1.01441E+00
19 7.96105E+02 3.98554E-03 8.97617E-05 1.08970E+00
20 8.08325E+02 4.78374E-03 9.92859E-05 1.16321E+00
21 8.20953E+02 5.68899E-03 1.09289E-04 1.23433E+00
22 8.33927E+02 6.70960E-03 1.19789E-04 1.30262E+00
23 8.47247E+02 7.85331E-03 1.30767E-04 1.36780E+00
24 8.60921E+02 9.12693E-03 1.42251E-04 1.42854E+00
25 8.74915E+02 1.05396E-02 1.54214E-04 1.48512E+00
26 8.89192E+02 1.20977E-02 1.66683E-04 1.53753E+00
27 9.03736E+02 1.38101E-02 1.79639E-04 1.58480E+00
28 9.18545E+02 1.56839E-02 1.93091E-04 1.62612E+00
29 9.33621E+02 1.77262E-02 2.07041E-04 1.66097E+00
30 9.48963E+02 1.99441E-02 2.21487E-04 1.69015E+00
31 9.64393E+02 2.23447E-02 2.36429E-04 1.71258E+00
32 9.80089E+02 2.49359E-02 2.51868E-04 1.72766E+00
33 9.96052E+02 2.77249E-02 2.67813E-04 1.73422E+00
34 1.01210E+03 3.07160E-02 2.84254E-04 1.73342E+00
35 1.02842E+03 3.39174E-02 3.01192E-04 1.72482E+00
36 1.04483E+03 3.73351E-02 3.18627E-04 1.70726E+00
37 1.06159E+03 4.09754E-02 3.36575E-04 1.68030E+00
38 1.07844E+03 4.48445E-02 3.55012E-04 1.64430E+00
39 1.09546E+03 4.89442E-02 3.73954E-04 1.59899E+00
40 1.11258E+03 5.32797E-02 3.93401E-04 1.54338E+00
41 1.12996E+03 5.78600E-02 4.13345E-04 1.47696E+00
42 1.14752E+03 6.26886E-02 4.33786E-04 1.40043E+00
43 1.16525E+03 6.77691E-02 4.54741E-04 1.31441E+00
44 1.18299E+03 7.30997E-02 4.76184E-04 1.21731E+00
45 1.20099E+03 7.86883E-02 4.98132E-04 1.10805E+00
46 1.21926E+03 8.45456E-02 5.20586E-04 9.87538E-01
47 1.23762E+03 9.06662E-02 5.43536E-04 8.56691E-01
48 1.25606E+03 9.70423E-02 5.66992E-04 7.14192E-01
49 1.27468E+03 1.03693E-01 5.90944E-04 5.58922E-01
50 1.29366E+03 1.10619E-01 6.15394E-04 3.91690E-01
51 1.31255E+03 1.17820E-01 6.40348E-04 2.13532E-01
52 1.33179E+03 1.25269E-01 6.65799E-04 2.33006E-02
53 1.35130E+03 1.33011E-01 6.91747E-04 -1.80251E-01
54 1.37081E+03 1.41010E-01 7.18200E-04 -3.96097E-01
55 1.39050E+03 1.49284E-01 7.45141E-04 -6.23224E-01
56 1.41045E+03 1.57823E-01 7.72587E-04 -8.62642E-01
57 1.43058E+03 1.66638E-01 8.00530E-04 -1.11541E+00
58 1.45098E+03 1.75719E-01 8.28970E-04 -1.38083E+00
59 1.47138E+03 1.85075E-01 8.57906E-04 -1.65787E+00
60 1.49195E+03 1.94661E-01 8.87330E-04 -1.94572E+00
61 1.51305E+03 2.04496E-01 9.17304E-04 -2.24387E+00
62 1.53407E+03 2.14579E-01 9.47721E-04 -2.55353E+00
63 1.55527E+03 2.24892E-01 9.78582E-04 -2.87624E+00
64 1.57690E+03 2.35489E-01 1.01006E-03 -3.21349E+00
65 1.59845E+03 2.46379E-01 1.04199E-03 -3.56626E+00
66 1.62036E+03 2.57508E-01 1.07436E-03 -3.93348E+00
67 1.64226E+03 2.68868E-01 1.10726E-03 -4.31312E+00
68 1.66461E+03 2.80485E-01 1.14069E-03 -4.70349E+00
69 1.68704E+03 2.92289E-01 1.17456E-03 -5.10237E+00
70 1.70984E+03 3.04296E-01 1.20897E-03 -5.50994E+00
71 1.73280E+03 3.16472E-01 1.24391E-03 -5.92745E+00
72 1.75595E+03 3.28816E-01 1.27929E-03 -6.35586E+00
73 1.77918E+03 3.41302E-01 1.31512E-03 -6.79589E+00
74 1.80268E+03 3.53948E-01 1.35157E-03 -7.24682E+00
75 1.82645E+03 3.66762E-01 1.38846E-03 -7.70769E+00
76 1.85030E+03 3.79771E-01 1.42579E-03 -8.17850E+00
77 1.87443E+03 3.92967E-01 1.46366E-03 -8.65932E+00
78 1.89881E+03 4.06349E-01 1.50206E-03 -9.15087E+00
79 1.92338E+03 4.19863E-01 1.54099E-03 -9.65014E+00
80 1.94821E+03 4.33511E-01 1.58036E-03 -1.01574E+01
81 1.97330E+03 4.47230E-01 1.62027E-03 -1.06744E+01
82 1.99858E+03 4.61046E-01 1.66062E-03 -1.11994E+01
83 2.02412E+03 4.74934E-01 1.70159E-03 -1.17323E+01
84 2.04992E+03 4.88901E-01 1.74300E-03 -1.22724E+01
85 2.07582E+03 5.02912E-01 1.78495E-03 -1.28204E+01
86 2.10189E+03 5.16986E-01 1.82734E-03 -1.33756E+01
87 2.12840E+03 5.31094E-01 1.87035E-03 -1.39369E+01
88 2.15492E+03 5.45248E-01 1.91380E-03 -1.45036E+01
89 2.18179E+03 5.59428E-01 1.95778E-03 -1.50782E+01
90 2.20884E+03 5.73599E-01 2.00230E-03 -1.56564E+01
91 2.23606E+03 5.87761E-01 2.04735E-03 -1.62390E+01
92 2.26355E+03 6.01888E-01 2.09284E-03 -1.68261E+01
93 2.29131E+03 6.15988E-01 2.13896E-03 -1.74167E+01
