#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.266931E+06   0.266930E+06   0.355825E+06   0.355815E+06   0.334168E+06   0.267984E+06   0.266931E+06   0.274836E+06  -0.604958E+00   0.265614E+06   0.265614E+06   0.302306E+01
   0.798228E-04   0.266930E+06   0.266929E+06   0.355802E+06   0.355791E+06   0.334146E+06   0.267982E+06   0.266930E+06   0.274835E+06  -0.604954E+00   0.265613E+06   0.265613E+06   0.337830E+01
   0.892035E-04   0.266928E+06   0.266928E+06   0.355775E+06   0.355760E+06   0.334120E+06   0.267981E+06   0.266928E+06   0.274832E+06  -0.604949E+00   0.265612E+06   0.265612E+06   0.377530E+01
   0.996866E-04   0.266927E+06   0.266926E+06   0.355741E+06   0.355722E+06   0.334087E+06   0.267979E+06   0.266927E+06   0.274830E+06  -0.604942E+00   0.265610E+06   0.265610E+06   0.421893E+01
   0.111402E-03   0.266925E+06   0.266924E+06   0.355698E+06   0.355675E+06   0.334046E+06   0.267976E+06   0.266925E+06   0.274826E+06  -0.604935E+00   0.265608E+06   0.265608E+06   0.471469E+01
   0.124493E-03   0.266922E+06   0.266921E+06   0.355644E+06   0.355616E+06   0.333995E+06   0.267973E+06   0.266922E+06   0.274822E+06  -0.604925E+00   0.265606E+06   0.265605E+06   0.526869E+01
   0.139124E-03   0.266919E+06   0.266917E+06   0.355577E+06   0.355542E+06   0.333931E+06   0.267969E+06   0.266919E+06   0.274816E+06  -0.604912E+00   0.265603E+06   0.265602E+06   0.588777E+01
   0.155474E-03   0.266916E+06   0.266913E+06   0.355494E+06   0.355449E+06   0.333851E+06   0.267964E+06   0.266915E+06   0.274810E+06  -0.604897E+00   0.265599E+06   0.265598E+06   0.657957E+01
   0.173745E-03   0.266911E+06   0.266908E+06   0.355390E+06   0.355334E+06   0.333751E+06   0.267957E+06   0.266910E+06   0.274801E+06  -0.604877E+00   0.265594E+06   0.265593E+06   0.735262E+01
   0.194163E-03   0.266905E+06   0.266901E+06   0.355259E+06   0.355190E+06   0.333626E+06   0.267949E+06   0.266904E+06   0.274791E+06  -0.604853E+00   0.265588E+06   0.265587E+06   0.821645E+01
   0.216981E-03   0.266897E+06   0.266893E+06   0.355097E+06   0.355010E+06   0.333470E+06   0.267939E+06   0.266896E+06   0.274778E+06  -0.604823E+00   0.265580E+06   0.265579E+06   0.918170E+01
   0.242480E-03   0.266888E+06   0.266882E+06   0.354894E+06   0.354786E+06   0.333276E+06   0.267927E+06   0.266887E+06   0.274761E+06  -0.604785E+00   0.265571E+06   0.265569E+06   0.102602E+02
   0.270976E-03   0.266876E+06   0.266869E+06   0.354641E+06   0.354506E+06   0.333033E+06   0.267911E+06   0.266875E+06   0.274741E+06  -0.604738E+00   0.265559E+06   0.265557E+06   0.114654E+02
   0.302821E-03   0.266862E+06   0.266853E+06   0.354325E+06   0.354157E+06   0.332731E+06   0.267892E+06   0.266860E+06   0.274716E+06  -0.604679E+00   0.265544E+06   0.265542E+06   0.128118E+02
   0.338408E-03   0.266843E+06   0.266832E+06   0.353930E+06   0.353721E+06   0.332353E+06   0.267868E+06   0.266841E+06   0.274684E+06  -0.604606E+00   0.265526E+06   0.265523E+06   0.143162E+02
   0.378178E-03   0.266821E+06   0.266807E+06   0.353438E+06   0.353177E+06   0.331882E+06   0.267837E+06   0.266818E+06   0.274644E+06  -0.604514E+00   0.265503E+06   0.265499E+06   0.159968E+02
   0.422621E-03   0.266792E+06   0.266775E+06   0.352825E+06   0.352499E+06   0.331294E+06   0.267800E+06   0.266789E+06   0.274594E+06  -0.604400E+00   0.265474E+06   0.265470E+06   0.178742E+02
