#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.14449E+04    0.19764E+01    0.21881E-04    0.19764E+01    0.90822E-01   -0.25110E-07    0.21881E-04   -0.25110E-07    0.84987E-10
    44    0.14649E+04    0.18622E+01    0.20991E-04    0.18622E+01    0.97984E-01   -0.24959E-07    0.20991E-04   -0.24959E-07    0.81084E-10
    45    0.14852E+04    0.17326E+01    0.20156E-04    0.17326E+01    0.10549E+00   -0.24809E-07    0.20156E-04   -0.24809E-07    0.77422E-10
    46    0.15058E+04    0.15884E+01    0.19369E-04    0.15884E+01    0.11336E+00   -0.24659E-07    0.19369E-04   -0.24659E-07    0.73982E-10
    47    0.15264E+04    0.14306E+01    0.18623E-04    0.14306E+01    0.12158E+00   -0.24506E-07    0.18623E-04   -0.24506E-07    0.70748E-10
    48    0.15471E+04    0.12580E+01    0.17919E-04    0.12580E+01    0.13015E+00   -0.24352E-07    0.17919E-04   -0.24352E-07    0.67703E-10
    49    0.15681E+04    0.10693E+01    0.17254E-04    0.10693E+01    0.13908E+00   -0.24199E-07    0.17254E-04   -0.24199E-07    0.64834E-10
    50    0.15894E+04    0.86520E+00    0.16625E-04    0.86520E+00    0.14838E+00   -0.24046E-07    0.16625E-04   -0.24046E-07    0.62127E-10
    51    0.16106E+04    0.64662E+00    0.16027E-04    0.64662E+00    0.15804E+00   -0.23890E-07    0.16027E-04   -0.23890E-07    0.59572E-10
    52    0.16323E+04    0.41248E+00    0.15461E-04    0.41248E+00    0.16805E+00   -0.23733E-07    0.15461E-04   -0.23733E-07    0.57157E-10
    53    0.16541E+04    0.16162E+00    0.14924E-04    0.16162E+00    0.17844E+00   -0.23579E-07    0.14924E-04   -0.23579E-07    0.54872E-10
    54    0.16760E+04   -0.10505E+00    0.14414E-04   -0.10505E+00    0.18918E+00   -0.23424E-07    0.14414E-04   -0.23424E-07    0.52709E-10
    55    0.16981E+04   -0.38663E+00    0.13927E-04   -0.38663E+00    0.20028E+00   -0.23266E-07    0.13927E-04   -0.23266E-07    0.50659E-10
    56    0.17204E+04   -0.68402E+00    0.13465E-04   -0.68402E+00    0.21174E+00   -0.23108E-07    0.13465E-04   -0.23108E-07    0.48714E-10
    57    0.17430E+04   -0.99822E+00    0.13025E-04   -0.99822E+00    0.22357E+00   -0.22952E-07    0.13025E-04   -0.22952E-07    0.46870E-10
    58    0.17659E+04   -0.13287E+01    0.12606E-04   -0.13287E+01    0.23575E+00   -0.22795E-07    0.12606E-04   -0.22795E-07    0.45117E-10
    59    0.17888E+04   -0.16746E+01    0.12206E-04   -0.16746E+01    0.24829E+00   -0.22637E-07    0.12206E-04   -0.22637E-07    0.43452E-10
    60    0.18120E+04   -0.20348E+01    0.11823E-04   -0.20348E+01    0.26114E+00   -0.22477E-07    0.11823E-04   -0.22477E-07    0.41868E-10
    61    0.18357E+04   -0.24085E+01    0.11458E-04   -0.24085E+01    0.27433E+00   -0.22318E-07    0.11458E-04   -0.22318E-07    0.40359E-10
    62    0.18593E+04   -0.27972E+01    0.11109E-04   -0.27972E+01    0.28784E+00   -0.22159E-07    0.11109E-04   -0.22159E-07    0.38922E-10
    63    0.18832E+04   -0.32024E+01    0.10775E-04   -0.32024E+01    0.30168E+00   -0.22000E-07    0.10775E-04   -0.22000E-07    0.37552E-10
    64    0.19074E+04   -0.36259E+01    0.10456E-04   -0.36259E+01    0.31587E+00   -0.21842E-07    0.10456E-04   -0.21842E-07    0.36247E-10
    65    0.19317E+04   -0.40689E+01    0.10151E-04   -0.40689E+01    0.33043E+00   -0.21683E-07    0.10151E-04   -0.21683E-07    0.35002E-10
    66    0.19563E+04   -0.45301E+01    0.98593E-05   -0.45301E+01    0.34532E+00   -0.21525E-07    0.98593E-05   -0.21525E-07    0.33814E-10
    67    0.19811E+04   -0.50070E+01    0.95792E-05   -0.50070E+01    0.36052E+00   -0.21367E-07    0.95792E-05   -0.21367E-07    0.32678E-10
    68    0.20062E+04   -0.54981E+01    0.93103E-05   -0.54981E+01    0.37604E+00   -0.21208E-07    0.93103E-05   -0.21208E-07    0.31592E-10
    69    0.20315E+04   -0.60005E+01    0.90520E-05   -0.60005E+01    0.39181E+00   -0.21050E-07    0.90520E-05   -0.21050E-07    0.30554E-10
    70    0.20572E+04   -0.65146E+01    0.88039E-05   -0.65146E+01    0.40785E+00   -0.20891E-07    0.88039E-05   -0.20891E-07    0.29560E-10
    71    0.20831E+04   -0.70416E+01    0.85654E-05   -0.70416E+01    0.42412E+00   -0.20732E-07    0.85654E-05   -0.20732E-07    0.28608E-10
    72    0.21093E+04   -0.75827E+01    0.83362E-05   -0.75827E+01    0.44061E+00   -0.20573E-07    0.83362E-05   -0.20573E-07    0.27697E-10
    73    0.21356E+04   -0.81387E+01    0.81158E-05   -0.81387E+01    0.45729E+00   -0.20414E-07    0.81158E-05   -0.20414E-07    0.26824E-10
    74    0.21622E+04   -0.87086E+01    0.79036E-05   -0.87086E+01    0.47418E+00   -0.20255E-07    0.79036E-05   -0.20255E-07    0.25987E-10
    75    0.21891E+04   -0.92914E+01    0.76992E-05   -0.92914E+01    0.49129E+00   -0.20095E-07    0.76992E-05   -0.20095E-07    0.25184E-10
    76    0.22162E+04   -0.98871E+01    0.75023E-05   -0.98871E+01    0.50865E+00   -0.19936E-07    0.75023E-05   -0.19936E-07    0.24413E-10
    77    0.22436E+04   -0.10495E+02    0.73126E-05   -0.10495E+02    0.52623E+00   -0.19777E-07    0.73126E-05   -0.19777E-07    0.23673E-10
