#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.13519E+04    0.27534E-01    0.17356E-02    0.27534E-01    0.12550E-05   -0.18288E-07    0.17356E-02   -0.18288E-07    0.75625E-08
     3    0.12478E+04    0.63763E-01    0.11887E-02    0.63763E-01    0.58980E-05   -0.22052E-07    0.11887E-02   -0.22052E-07    0.45942E-08
     4    0.11676E+04    0.10941E+00    0.88104E-03    0.10941E+00    0.16920E-04   -0.24009E-07    0.88104E-03   -0.24009E-07    0.31710E-08
     5    0.11121E+04    0.16343E+00    0.68566E-03    0.16343E+00    0.38053E-04   -0.25226E-07    0.68566E-03   -0.25226E-07    0.23510E-08
     6    0.10752E+04    0.22504E+00    0.55189E-03    0.22504E+00    0.73703E-04   -0.26006E-07    0.55189E-03   -0.26006E-07    0.18249E-08
     7    0.10516E+04    0.29346E+00    0.45539E-03    0.29346E+00    0.12890E-03   -0.26532E-07    0.45539E-03   -0.26532E-07    0.14635E-08
     8    0.10371E+04    0.36778E+00    0.38300E-03    0.36778E+00    0.20920E-03   -0.26923E-07    0.38300E-03   -0.26923E-07    0.12026E-08
     9    0.10296E+04    0.44731E+00    0.32705E-03    0.44731E+00    0.32078E-03   -0.27245E-07    0.32705E-03   -0.27245E-07    0.10072E-08
    10    0.10275E+04    0.53120E+00    0.28269E-03    0.53120E+00    0.46998E-03   -0.27474E-07    0.28269E-03   -0.27474E-07    0.85647E-09
    11    0.10293E+04    0.61870E+00    0.24698E-03    0.61870E+00    0.66410E-03   -0.27623E-07    0.24698E-03   -0.27623E-07    0.73757E-09
    12    0.10350E+04    0.70965E+00    0.21763E-03    0.70965E+00    0.91042E-03   -0.27672E-07    0.21763E-03   -0.27672E-07    0.64168E-09
    13    0.10432E+04    0.80229E+00    0.19336E-03    0.80229E+00    0.12165E-02   -0.27689E-07    0.19336E-03   -0.27689E-07    0.56339E-09
    14    0.10535E+04    0.89621E+00    0.17288E-03    0.89621E+00    0.15900E-02   -0.27681E-07    0.17288E-03   -0.27681E-07    0.49837E-09
    15    0.10656E+04    0.99053E+00    0.15550E-03    0.99053E+00    0.20398E-02   -0.27678E-07    0.15550E-03   -0.27678E-07    0.44387E-09
