#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.252417E+07   0.252417E+07   0.335563E+07   0.335551E+07   0.252783E+07   0.252426E+07   0.252417E+07   0.253134E+07  -0.600310E+00   0.251916E+07   0.251916E+07   0.435876E+00
   0.798228E-04   0.252414E+07   0.252414E+07   0.335314E+07   0.335298E+07   0.252770E+07   0.252423E+07   0.252414E+07   0.253131E+07  -0.600302E+00   0.251914E+07   0.251914E+07   0.487075E+00
   0.892035E-04   0.252411E+07   0.252411E+07   0.335002E+07   0.334982E+07   0.252754E+07   0.252419E+07   0.252411E+07   0.253127E+07  -0.600292E+00   0.251910E+07   0.251910E+07   0.544282E+00
   0.996866E-04   0.252407E+07   0.252407E+07   0.334613E+07   0.334589E+07   0.252734E+07   0.252415E+07   0.252407E+07   0.253122E+07  -0.600279E+00   0.251906E+07   0.251906E+07   0.608198E+00
   0.111402E-03   0.252402E+07   0.252402E+07   0.334127E+07   0.334097E+07   0.252709E+07   0.252410E+07   0.252402E+07   0.253115E+07  -0.600263E+00   0.251901E+07   0.251901E+07   0.679606E+00
   0.124493E-03   0.252396E+07   0.252396E+07   0.333522E+07   0.333485E+07   0.252678E+07   0.252403E+07   0.252396E+07   0.253107E+07  -0.600243E+00   0.251895E+07   0.251895E+07   0.759380E+00
   0.139124E-03   0.252389E+07   0.252388E+07   0.332768E+07   0.332721E+07   0.252639E+07   0.252394E+07   0.252388E+07   0.253097E+07  -0.600219E+00   0.251887E+07   0.251887E+07   0.848492E+00
   0.155474E-03   0.252379E+07   0.252379E+07   0.331828E+07   0.331770E+07   0.252591E+07   0.252384E+07   0.252379E+07   0.253084E+07  -0.600188E+00   0.251877E+07   0.251877E+07   0.948026E+00
   0.173745E-03   0.252367E+07   0.252367E+07   0.330658E+07   0.330586E+07   0.252530E+07   0.252371E+07   0.252367E+07   0.253069E+07  -0.600149E+00   0.251864E+07   0.251864E+07   0.105919E+01
   0.194163E-03   0.252352E+07   0.252352E+07   0.329202E+07   0.329112E+07   0.252455E+07   0.252354E+07   0.252352E+07   0.253049E+07  -0.600101E+00   0.251848E+07   0.251848E+07   0.118331E+01
   0.216981E-03   0.252333E+07   0.252333E+07   0.327392E+07   0.327281E+07   0.252361E+07   0.252334E+07   0.252333E+07   0.253025E+07  -0.600041E+00   0.251829E+07   0.251829E+07   0.132188E+01
   0.242480E-03   0.252310E+07   0.252309E+07   0.325144E+07   0.325007E+07   0.252243E+07   0.252308E+07   0.252310E+07   0.252995E+07  -0.599966E+00   0.251805E+07   0.251804E+07   0.147655E+01
   0.270976E-03   0.252281E+07   0.252280E+07   0.322357E+07   0.322188E+07   0.252096E+07   0.252277E+07   0.252281E+07   0.252957E+07  -0.599873E+00   0.251774E+07   0.251774E+07   0.164913E+01
   0.302821E-03   0.252245E+07   0.252244E+07   0.318908E+07   0.318699E+07   0.251914E+07   0.252237E+07   0.252245E+07   0.252910E+07  -0.599757E+00   0.251736E+07   0.251736E+07   0.184162E+01
   0.338408E-03   0.252200E+07   0.252198E+07   0.314649E+07   0.314392E+07   0.251686E+07   0.252187E+07   0.252200E+07   0.252852E+07  -0.599612E+00   0.251689E+07   0.251689E+07   0.205622E+01
   0.378178E-03   0.252144E+07   0.252142E+07   0.309404E+07   0.309090E+07   0.251402E+07   0.252126E+07   0.252143E+07   0.252779E+07  -0.599432E+00   0.251630E+07   0.251630E+07   0.229533E+01
   0.422621E-03   0.252074E+07   0.252071E+07   0.302967E+07   0.302586E+07   0.251049E+07   0.252049E+07   0.252073E+07   0.252688E+07  -0.599208E+00   0.251556E+07   0.251556E+07   0.256156E+01
   0.472287E-03   0.251987E+07   0.251984E+07   0.295104E+07   0.294644E+07   0.250610E+07   0.251953E+07   0.251986E+07   0.252576E+07  -0.598931E+00   0.251465E+07   0.251465E+07   0.285772E+01
