#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.392104E+06   0.392103E+06   0.522593E+06   0.522579E+06   0.402140E+06   0.392295E+06   0.392104E+06   0.395874E+06  -0.601999E+00   0.391118E+06   0.391118E+06   0.115027E+01
   0.798228E-04   0.392102E+06   0.392102E+06   0.522538E+06   0.522522E+06   0.402124E+06   0.392293E+06   0.392102E+06   0.395872E+06  -0.601996E+00   0.391116E+06   0.391116E+06   0.128544E+01
   0.892035E-04   0.392101E+06   0.392100E+06   0.522470E+06   0.522449E+06   0.402105E+06   0.392291E+06   0.392101E+06   0.395870E+06  -0.601992E+00   0.391115E+06   0.391115E+06   0.143649E+01
   0.996866E-04   0.392099E+06   0.392098E+06   0.522385E+06   0.522359E+06   0.402081E+06   0.392289E+06   0.392099E+06   0.395867E+06  -0.601987E+00   0.391113E+06   0.391112E+06   0.160528E+01
   0.111402E-03   0.392096E+06   0.392095E+06   0.522279E+06   0.522247E+06   0.402051E+06   0.392286E+06   0.392096E+06   0.395863E+06  -0.601981E+00   0.391110E+06   0.391110E+06   0.179391E+01
   0.124493E-03   0.392093E+06   0.392092E+06   0.522147E+06   0.522106E+06   0.402013E+06   0.392282E+06   0.392093E+06   0.395858E+06  -0.601973E+00   0.391106E+06   0.391106E+06   0.200469E+01
   0.139124E-03   0.392089E+06   0.392088E+06   0.521981E+06   0.521931E+06   0.401966E+06   0.392277E+06   0.392089E+06   0.395852E+06  -0.601964E+00   0.391102E+06   0.391102E+06   0.224023E+01
   0.155474E-03   0.392084E+06   0.392083E+06   0.521775E+06   0.521712E+06   0.401907E+06   0.392271E+06   0.392084E+06   0.395845E+06  -0.601952E+00   0.391097E+06   0.391097E+06   0.250343E+01
   0.173745E-03   0.392078E+06   0.392076E+06   0.521517E+06   0.521438E+06   0.401834E+06   0.392264E+06   0.392078E+06   0.395836E+06  -0.601938E+00   0.391091E+06   0.391090E+06   0.279754E+01
   0.194163E-03   0.392071E+06   0.392068E+06   0.521195E+06   0.521097E+06   0.401743E+06   0.392255E+06   0.392071E+06   0.395825E+06  -0.601920E+00   0.391082E+06   0.391082E+06   0.312617E+01
