#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.16713E+04    0.17895E+00    0.00000E+00   -0.29829E+00    0.13858E-06    0.77559E-03   -0.12150E-05
    55    0.16943E+04    0.18947E+00    0.00000E+00   -0.57641E+00    0.13804E-06    0.76274E-03   -0.12288E-05
    56    0.17176E+04    0.20033E+00    0.00000E+00   -0.86988E+00    0.13748E-06    0.75025E-03   -0.12422E-05
    57    0.17412E+04    0.21153E+00    0.00000E+00   -0.11799E+01    0.13691E-06    0.73820E-03   -0.12555E-05
    58    0.17650E+04    0.22307E+00    0.00000E+00   -0.15057E+01    0.13633E-06    0.72650E-03   -0.12685E-05
    59    0.17889E+04    0.23495E+00    0.00000E+00   -0.18462E+01    0.13573E-06    0.71506E-03   -0.12810E-05
    60    0.18129E+04    0.24714E+00    0.00000E+00   -0.22003E+01    0.13513E-06    0.70389E-03   -0.12932E-05
    61    0.18376E+04    0.25964E+00    0.00000E+00   -0.25675E+01    0.13452E-06    0.69305E-03   -0.13051E-05
    62    0.18622E+04    0.27245E+00    0.00000E+00   -0.29494E+01    0.13390E-06    0.68252E-03   -0.13167E-05
    63    0.18871E+04    0.28557E+00    0.00000E+00   -0.33473E+01    0.13328E-06    0.67229E-03   -0.13281E-05
    64    0.19123E+04    0.29903E+00    0.00000E+00   -0.37631E+01    0.13265E-06    0.66235E-03   -0.13391E-05
    65    0.19376E+04    0.31285E+00    0.00000E+00   -0.41980E+01    0.13201E-06    0.65267E-03   -0.13498E-05
    66    0.19632E+04    0.32698E+00    0.00000E+00   -0.46506E+01    0.13137E-06    0.64325E-03   -0.13603E-05
    67    0.19889E+04    0.34140E+00    0.00000E+00   -0.51185E+01    0.13072E-06    0.63406E-03   -0.13704E-05
    68    0.20151E+04    0.35614E+00    0.00000E+00   -0.56001E+01    0.13007E-06    0.62510E-03   -0.13802E-05
    69    0.20414E+04    0.37113E+00    0.00000E+00   -0.60927E+01    0.12942E-06    0.61636E-03   -0.13898E-05
    70    0.20681E+04    0.38636E+00    0.00000E+00   -0.65965E+01    0.12876E-06    0.60782E-03   -0.13990E-05
    71    0.20950E+04    0.40182E+00    0.00000E+00   -0.71127E+01    0.12810E-06    0.59948E-03   -0.14079E-05
    72    0.21222E+04    0.41749E+00    0.00000E+00   -0.76427E+01    0.12743E-06    0.59134E-03   -0.14164E-05
    73    0.21495E+04    0.43335E+00    0.00000E+00   -0.81870E+01    0.12677E-06    0.58338E-03   -0.14247E-05
    74    0.21771E+04    0.44940E+00    0.00000E+00   -0.87450E+01    0.12610E-06    0.57561E-03   -0.14327E-05
    75    0.22050E+04    0.46567E+00    0.00000E+00   -0.93154E+01    0.12543E-06    0.56801E-03   -0.14404E-05
    76    0.22331E+04    0.48218E+00    0.00000E+00   -0.98983E+01    0.12476E-06    0.56058E-03   -0.14477E-05
    77    0.22615E+04    0.49892E+00    0.00000E+00   -0.10494E+02    0.12409E-06    0.55332E-03   -0.14548E-05
    78    0.22902E+04    0.51588E+00    0.00000E+00   -0.11103E+02    0.12342E-06    0.54623E-03   -0.14615E-05
    79    0.23191E+04    0.53301E+00    0.00000E+00   -0.11721E+02    0.12274E-06    0.53929E-03   -0.14680E-05
    80    0.23484E+04    0.55030E+00    0.00000E+00   -0.12350E+02    0.12207E-06    0.53251E-03   -0.14741E-05
    81    0.23779E+04    0.56769E+00    0.00000E+00   -0.12990E+02    0.12140E-06    0.52588E-03   -0.14800E-05
    82    0.24078E+04    0.58520E+00    0.00000E+00   -0.13641E+02    0.12073E-06    0.51939E-03   -0.14856E-05
    83    0.24379E+04    0.60280E+00    0.00000E+00   -0.14302E+02    0.12006E-06    0.51305E-03   -0.14908E-05
    84    0.24683E+04    0.62048E+00    0.00000E+00   -0.14972E+02    0.11939E-06    0.50685E-03   -0.14958E-05
    85    0.24989E+04    0.63823E+00    0.00000E+00   -0.15651E+02    0.11872E-06    0.50078E-03   -0.15006E-05
    86    0.25298E+04    0.65605E+00    0.00000E+00   -0.16340E+02    0.11806E-06    0.49484E-03   -0.15050E-05
    87    0.25611E+04    0.67391E+00    0.00000E+00   -0.17036E+02    0.11739E-06    0.48902E-03   -0.15091E-05
    88    0.25925E+04    0.69182E+00    0.00000E+00   -0.17740E+02    0.11673E-06    0.48332E-03   -0.15130E-05
    89    0.26243E+04    0.70975E+00    0.00000E+00   -0.18452E+02    0.11607E-06    0.47774E-03   -0.15165E-05
    90    0.26563E+04    0.72767E+00    0.00000E+00   -0.19169E+02    0.11541E-06    0.47226E-03   -0.15198E-05
    91    0.26885E+04    0.74557E+00    0.00000E+00   -0.19892E+02    0.11475E-06    0.46688E-03   -0.15228E-05
    92    0.27211E+04    0.76343E+00    0.00000E+00   -0.20621E+02    0.11410E-06    0.46161E-03   -0.15255E-05
    93    0.27540E+04    0.78124E+00    0.00000E+00   -0.21354E+02    0.11345E-06    0.45644E-03   -0.15279E-05
    94    0.27870E+04    0.79897E+00    0.00000E+00   -0.22092E+02    0.11280E-06    0.45136E-03   -0.15300E-05
    95    0.28203E+04    0.81660E+00    0.00000E+00   -0.22833E+02    0.11215E-06    0.44638E-03   -0.15319E-05
