#    L    TT             EE             TE             PP             TP          
    75    0.21068E+04    0.44092E+00   -0.89001E+01    0.53118E+07    0.90752E+04
    76    0.21337E+04    0.45656E+00   -0.94548E+01    0.52847E+07    0.89591E+04
    77    0.21609E+04    0.47241E+00   -0.10021E+02    0.52575E+07    0.88457E+04
    78    0.21885E+04    0.48848E+00   -0.10601E+02    0.52302E+07    0.87347E+04
    79    0.22163E+04    0.50471E+00   -0.11189E+02    0.52028E+07    0.86261E+04
    80    0.22444E+04    0.52109E+00   -0.11787E+02    0.51754E+07    0.85200E+04
    81    0.22727E+04    0.53757E+00   -0.12396E+02    0.51479E+07    0.84161E+04
    82    0.23013E+04    0.55416E+00   -0.13016E+02    0.51205E+07    0.83145E+04
    83    0.23302E+04    0.57083E+00   -0.13645E+02    0.50930E+07    0.82151E+04
    84    0.23594E+04    0.58759E+00   -0.14282E+02    0.50655E+07    0.81178E+04
    85    0.23887E+04    0.60440E+00   -0.14928E+02    0.50381E+07    0.80226E+04
    86    0.24183E+04    0.62129E+00   -0.15583E+02    0.50106E+07    0.79293E+04
    87    0.24484E+04    0.63821E+00   -0.16246E+02    0.49832E+07    0.78379E+04
    88    0.24785E+04    0.65518E+00   -0.16915E+02    0.49558E+07    0.77483E+04
    89    0.25089E+04    0.67218E+00   -0.17592E+02    0.49285E+07    0.76604E+04
    90    0.25397E+04    0.68916E+00   -0.18275E+02    0.49012E+07    0.75742E+04
    91    0.25705E+04    0.70613E+00   -0.18963E+02    0.48740E+07    0.74896E+04
    92    0.26018E+04    0.72306E+00   -0.19656E+02    0.48469E+07    0.74066E+04
    93    0.26333E+04    0.73994E+00   -0.20354E+02    0.48198E+07    0.73252E+04
    94    0.26649E+04    0.75674E+00   -0.21055E+02    0.47928E+07    0.72452E+04
    95    0.26968E+04    0.77346E+00   -0.21760E+02    0.47659E+07    0.71666E+04
    96    0.27288E+04    0.79007E+00   -0.22469E+02    0.47391E+07    0.70894E+04
    97    0.27612E+04    0.80657E+00   -0.23181E+02    0.47124E+07    0.70136E+04
    98    0.27938E+04    0.82294E+00   -0.23893E+02    0.46858E+07    0.69391E+04
    99    0.28266E+04    0.83915E+00   -0.24608E+02    0.46593E+07    0.68659E+04
   100    0.28596E+04    0.85519E+00   -0.25322E+02    0.46329E+07    0.67939E+04
   101    0.28928E+04    0.87112E+00   -0.26037E+02    0.46067E+07    0.67232E+04
   102    0.29265E+04    0.88679E+00   -0.26752E+02    0.45805E+07    0.66536E+04
   103    0.29602E+04    0.90227E+00   -0.27467E+02    0.45545E+07    0.65852E+04
   104    0.29941E+04    0.91756E+00   -0.28179E+02    0.45286E+07    0.65180E+04
   105    0.30282E+04    0.93258E+00   -0.28890E+02    0.45028E+07    0.64519E+04
   106    0.30625E+04    0.94741E+00   -0.29599E+02    0.44771E+07    0.63869E+04
   107    0.30967E+04    0.96190E+00   -0.30303E+02    0.44516E+07    0.63230E+04
   108    0.31314E+04    0.97611E+00   -0.31005E+02    0.44262E+07    0.62600E+04
   109    0.31661E+04    0.98997E+00   -0.31701E+02    0.44010E+07    0.61982E+04
   110    0.32010E+04    0.10035E+01   -0.32392E+02    0.43758E+07    0.61372E+04
   111    0.32361E+04    0.10167E+01   -0.33078E+02    0.43509E+07    0.60773E+04
   112    0.32712E+04    0.10296E+01   -0.33758E+02    0.43260E+07    0.60183E+04
   113    0.33067E+04    0.10421E+01   -0.34431E+02    0.43013E+07    0.59602E+04
   114    0.33422E+04    0.10542E+01   -0.35096E+02    0.42768E+07    0.59030E+04
   115    0.33779E+04    0.10660E+01   -0.35754E+02    0.42524E+07    0.58466E+04
   116    0.34137E+04    0.10773E+01   -0.36402E+02    0.42282E+07    0.57911E+04
   117    0.34498E+04    0.10882E+01   -0.37041E+02    0.42041E+07    0.57363E+04
   118    0.34860E+04    0.10987E+01   -0.37670E+02    0.41802E+07    0.56824E+04
   119    0.35222E+04    0.11089E+01   -0.38289E+02    0.41564E+07    0.56293E+04
   120    0.35586E+04    0.11184E+01   -0.38896E+02    0.41328E+07    0.55769E+04
   121    0.35950E+04    0.11277E+01   -0.39491E+02    0.41093E+07    0.55253E+04
   122    0.36315E+04    0.11363E+01   -0.40074E+02    0.40860E+07    0.54744E+04
   123    0.36680E+04    0.11445E+01   -0.40645E+02    0.40628E+07    0.54242E+04
   124    0.37046E+04    0.11522E+01   -0.41200E+02    0.40398E+07    0.53747E+04
   125    0.37412E+04    0.11594E+01   -0.41742E+02    0.40170E+07    0.53259E+04
   126    0.37779E+04    0.11662E+01   -0.42270E+02    0.39943E+07    0.52778E+04
   127    0.38146E+04    0.11724E+01   -0.42782E+02    0.39717E+07    0.52303E+04
   128    0.38513E+04    0.11781E+01   -0.43279E+02    0.39493E+07    0.51834E+04
   129    0.38880E+04    0.11832E+01   -0.43759E+02    0.39271E+07    0.51371E+04
   130    0.39247E+04    0.11878E+01   -0.44221E+02    0.39050E+07    0.50914E+04
   131    0.39614E+04    0.11919E+01   -0.44667E+02    0.38831E+07    0.50463E+04
   132    0.39982E+04    0.11955E+01   -0.45094E+02    0.38614E+07    0.50017E+04
   133    0.40349E+04    0.11985E+01   -0.45503E+02    0.38398E+07    0.49577E+04
   134    0.40716E+04    0.12010E+01   -0.45892E+02    0.38183E+07    0.49142E+04
   135    0.41083E+04    0.12029E+01   -0.46262E+02    0.37970E+07    0.48713E+04
   136    0.41448E+04    0.12042E+01   -0.46609E+02    0.37759E+07    0.48288E+04
   137    0.41813E+04    0.12050E+01   -0.46937E+02    0.37549E+07    0.47869E+04
   138    0.42177E+04    0.12053E+01   -0.47243E+02    0.37341E+07    0.47455E+04
   139    0.42538E+04    0.12051E+01   -0.47527E+02    0.37134E+07    0.47046E+04
   140    0.42901E+04    0.12042E+01   -0.47789E+02    0.36929E+07    0.46641E+04
   141    0.43261E+04    0.12028E+01   -0.48028E+02    0.36725E+07    0.46241E+04
   142    0.43621E+04    0.12008E+01   -0.48244E+02    0.36523E+07    0.45846E+04
   143    0.43980E+04    0.11984E+01   -0.48437E+02    0.36322E+07    0.45456E+04
   144    0.44336E+04    0.11954E+01   -0.48606E+02    0.36123E+07    0.45070E+04
   145    0.44692E+04    0.11919E+01   -0.48751E+02    0.35925E+07    0.44688E+04
   146    0.45047E+04    0.11878E+01   -0.48871E+02    0.35729E+07    0.44311E+04
   147    0.45399E+04    0.11833E+01   -0.48965E+02    0.35535E+07    0.43938E+04
   148    0.45750E+04    0.11782E+01   -0.49035E+02    0.35341E+07    0.43569E+04
   149    0.46099E+04    0.11726E+01   -0.49080E+02    0.35150E+07    0.43204E+04
   150    0.46446E+04    0.11666E+01   -0.49096E+02    0.34959E+07    0.42843E+04
   151    0.46790E+04    0.11601E+01   -0.49086E+02    0.34771E+07    0.42486E+04
   152    0.47132E+04    0.11531E+01   -0.49050E+02    0.34583E+07    0.42133E+04
   153    0.47472E+04    0.11456E+01   -0.48985E+02    0.34397E+07    0.41784E+04
   154    0.47809E+04    0.11377E+01   -0.48894E+02    0.34213E+07    0.41439E+04
   155    0.48144E+04    0.11295E+01   -0.48774E+02    0.34030E+07    0.41097E+04
   156    0.48474E+04    0.11208E+01   -0.48627E+02    0.33848E+07    0.40759E+04
   157    0.48804E+04    0.11118E+01   -0.48451E+02    0.33668E+07    0.40424E+04
   158    0.49129E+04    0.11024E+01   -0.48246E+02    0.33489E+07    0.40093E+04
   159    0.49452E+04    0.10926E+01   -0.48013E+02    0.33312E+07    0.39765E+04
   160    0.49771E+04    0.10824E+01   -0.47750E+02    0.33136E+07    0.39441E+04
   161    0.50088E+04    0.10721E+01   -0.47458E+02    0.32961E+07    0.39119E+04
   162    0.50401E+04    0.10613E+01   -0.47138E+02    0.32788E+07    0.38801E+04
   163    0.50712E+04    0.10503E+01   -0.46788E+02    0.32616E+07    0.38486E+04
   164    0.51018E+04    0.10391E+01   -0.46408E+02    0.32445E+07    0.38175E+04
   165    0.51321E+04    0.10275E+01   -0.45998E+02    0.32276E+07    0.37866E+04
   166    0.51621E+04    0.10159E+01   -0.45559E+02    0.32108E+07    0.37560E+04
   167    0.51918E+04    0.10038E+01   -0.45091E+02    0.31941E+07    0.37257E+04
   168    0.52209E+04    0.99185E+00   -0.44591E+02    0.31776E+07    0.36957E+04
   169    0.52497E+04    0.97959E+00   -0.44061E+02    0.31612E+07    0.36660E+04
   170    0.52780E+04    0.96729E+00   -0.43502E+02    0.31449E+07    0.36365E+04
   171    0.53059E+04    0.95495E+00   -0.42911E+02    0.31288E+07    0.36074E+04
   172    0.53333E+04    0.94250E+00   -0.42291E+02    0.31127E+07    0.35785E+04
   173    0.53602E+04    0.92996E+00   -0.41640E+02    0.30968E+07    0.35498E+04
   174    0.53866E+04    0.91761E+00   -0.40960E+02    0.30811E+07    0.35214E+04
   175    0.54127E+04    0.90517E+00   -0.40249E+02    0.30654E+07    0.34933E+04
   176    0.54381E+04    0.89286E+00   -0.39507E+02    0.30499E+07    0.34655E+04
   177    0.54631E+04    0.88062E+00   -0.38737E+02    0.30344E+07    0.34378E+04
   178    0.54876E+04    0.86867E+00   -0.37936E+02    0.30192E+07    0.34105E+04
   179    0.55115E+04    0.85672E+00   -0.37105E+02    0.30040E+07    0.33833E+04
   180    0.55351E+04    0.84500E+00   -0.36245E+02    0.29889E+07    0.33565E+04
   181    0.55581E+04    0.83351E+00   -0.35357E+02    0.29740E+07    0.33298E+04
   182    0.55806E+04    0.82234E+00   -0.34438E+02    0.29591E+07    0.33034E+04
   183    0.56024E+04    0.81140E+00   -0.33491E+02    0.29444E+07    0.32772E+04
   184    0.56238E+04    0.80078E+00   -0.32514E+02    0.29298E+07    0.32512E+04
   185    0.56447E+04    0.79064E+00   -0.31511E+02    0.29153E+07    0.32254E+04
   186    0.56647E+04    0.78084E+00   -0.30477E+02    0.29009E+07    0.31999E+04
   187    0.56845E+04    0.77152E+00   -0.29416E+02    0.28867E+07    0.31746E+04
   188    0.57037E+04    0.76268E+00   -0.28327E+02    0.28725E+07    0.31495E+04
   189    0.57222E+04    0.75436E+00   -0.27210E+02    0.28584E+07    0.31246E+04
   190    0.57404E+04    0.74661E+00   -0.26068E+02    0.28445E+07    0.30999E+04
   191    0.57577E+04    0.73946E+00   -0.24897E+02    0.28306E+07    0.30754E+04
   192    0.57746E+04    0.73295E+00   -0.23699E+02    0.28169E+07    0.30511E+04
   193    0.57907E+04    0.72712E+00   -0.22477E+02    0.28033E+07    0.30271E+04
   194    0.58064E+04    0.72200E+00   -0.21227E+02    0.27897E+07    0.30032E+04
   195    0.58215E+04    0.71764E+00   -0.19953E+02    0.27763E+07    0.29795E+04
   196    0.58358E+04    0.71408E+00   -0.18654E+02    0.27630E+07    0.29560E+04
   197    0.58497E+04    0.71137E+00   -0.17330E+02    0.27498E+07    0.29328E+04
   198    0.58629E+04    0.70954E+00   -0.15983E+02    0.27367E+07    0.29097E+04
   199    0.58755E+04    0.70863E+00   -0.14611E+02    0.27237E+07    0.28868E+04
   200    0.58875E+04    0.70868E+00   -0.13217E+02    0.27107E+07    0.28640E+04
   201    0.58988E+04    0.70974E+00   -0.11800E+02    0.26979E+07    0.28415E+04
   202    0.59095E+04    0.71184E+00   -0.10360E+02    0.26852E+07    0.28191E+04
   203    0.59196E+04    0.71503E+00   -0.88985E+01    0.26726E+07    0.27970E+04
   204    0.59289E+04    0.71934E+00   -0.74173E+01    0.26601E+07    0.27750E+04
   205    0.59375E+04    0.72482E+00   -0.59145E+01    0.26476E+07    0.27532E+04
   206    0.59455E+04    0.73151E+00   -0.43916E+01    0.26353E+07    0.27315E+04
   207    0.59528E+04    0.73944E+00   -0.28491E+01    0.26231E+07    0.27100E+04
   208    0.59593E+04    0.74866E+00   -0.12876E+01    0.26109E+07    0.26887E+04
   209    0.59652E+04    0.75920E+00    0.29230E+00    0.25988E+07    0.26676E+04
   210    0.59704E+04    0.77111E+00    0.18897E+01    0.25869E+07    0.26466E+04
   211    0.59749E+04    0.78444E+00    0.35044E+01    0.25750E+07    0.26258E+04
   212    0.59786E+04    0.79921E+00    0.51354E+01    0.25632E+07    0.26051E+04
   213    0.59817E+04    0.81547E+00    0.67826E+01    0.25515E+07    0.25847E+04
   214    0.59841E+04    0.83322E+00    0.84447E+01    0.25399E+07    0.25643E+04
   215    0.59858E+04    0.85265E+00    0.10121E+02    0.25283E+07    0.25441E+04
   216    0.59868E+04    0.87359E+00    0.11811E+02    0.25169E+07    0.25241E+04
   217    0.59872E+04    0.89619E+00    0.13514E+02    0.25055E+07    0.25042E+04
   218    0.59869E+04    0.92046E+00    0.15230E+02    0.24942E+07    0.24845E+04
   219    0.59859E+04    0.94640E+00    0.16959E+02    0.24830E+07    0.24649E+04
   220    0.59842E+04    0.97416E+00    0.18696E+02    0.24719E+07    0.24454E+04
   221    0.59819E+04    0.10037E+01    0.20444E+02    0.24608E+07    0.24261E+04
   222    0.59790E+04    0.10351E+01    0.22202E+02    0.24498E+07    0.24070E+04
   223    0.59752E+04    0.10683E+01    0.23970E+02    0.24389E+07    0.23879E+04
   224    0.59710E+04    0.11033E+01    0.25744E+02    0.24281E+07    0.23691E+04
   225    0.59660E+04    0.11403E+01    0.27526E+02    0.24174E+07    0.23503E+04
   226    0.59604E+04    0.11793E+01    0.29314E+02    0.24067E+07    0.23317E+04
   227    0.59540E+04    0.12203E+01    0.31109E+02    0.23961E+07    0.23133E+04
   228    0.59471E+04    0.12632E+01    0.32908E+02    0.23856E+07    0.22950E+04
   229    0.59396E+04    0.13082E+01    0.34711E+02    0.23752E+07    0.22768E+04
   230    0.59313E+04    0.13553E+01    0.36518E+02    0.23648E+07    0.22587E+04
   231    0.59224E+04    0.14045E+01    0.38328E+02    0.23545E+07    0.22408E+04
   232    0.59128E+04    0.14557E+01    0.40140E+02    0.23443E+07    0.22230E+04
   233    0.59026E+04    0.15093E+01    0.41952E+02    0.23342E+07    0.22053E+04
   234    0.58917E+04    0.15649E+01    0.43765E+02    0.23241E+07    0.21878E+04
   235    0.58802E+04    0.16228E+01    0.45576E+02    0.23141E+07    0.21704E+04
   236    0.58679E+04    0.16829E+01    0.47387E+02    0.23042E+07    0.21531E+04
   237    0.58551E+04    0.17453E+01    0.49195E+02    0.22943E+07    0.21360E+04
   238    0.58416E+04    0.18100E+01    0.51000E+02    0.22845E+07    0.21190E+04
   239    0.58275E+04    0.18769E+01    0.52802E+02    0.22748E+07    0.21021E+04
   240    0.58127E+04    0.19461E+01    0.54598E+02    0.22651E+07    0.20853E+04
   241    0.57974E+04    0.20177E+01    0.56388E+02    0.22556E+07    0.20686E+04
   242    0.57814E+04    0.20916E+01    0.58173E+02    0.22460E+07    0.20521E+04
   243    0.57648E+04    0.21679E+01    0.59950E+02    0.22366E+07    0.20357E+04
   244    0.57476E+04    0.22466E+01    0.61720E+02    0.22272E+07    0.20194E+04
   245    0.57297E+04    0.23276E+01    0.63480E+02    0.22179E+07    0.20032E+04
   246    0.57113E+04    0.24111E+01    0.65231E+02    0.22086E+07    0.19872E+04
   247    0.56923E+04    0.24969E+01    0.66972E+02    0.21994E+07    0.19712E+04
   248    0.56727E+04    0.25854E+01    0.68701E+02    0.21902E+07    0.19554E+04
   249    0.56526E+04    0.26761E+01    0.70419E+02    0.21812E+07    0.19397E+04
   250    0.56319E+04    0.27695E+01    0.72122E+02    0.21721E+07    0.19241E+04
   251    0.56107E+04    0.28651E+01    0.73813E+02    0.21632E+07    0.19086E+04
   252    0.55887E+04    0.29633E+01    0.75490E+02    0.21543E+07    0.18933E+04
   253    0.55665E+04    0.30638E+01    0.77151E+02    0.21454E+07    0.18780E+04
   254    0.55436E+04    0.31669E+01    0.78795E+02    0.21366E+07    0.18629E+04
   255    0.55202E+04    0.32724E+01    0.80424E+02    0.21279E+07    0.18478E+04
   256    0.54962E+04    0.33805E+01    0.82036E+02    0.21192E+07    0.18329E+04
   257    0.54719E+04    0.34908E+01    0.83624E+02    0.21106E+07    0.18181E+04
   258    0.54469E+04    0.36037E+01    0.85200E+02    0.21020E+07    0.18034E+04
   259    0.54215E+04    0.37190E+01    0.86749E+02    0.20935E+07    0.17888E+04
   260    0.53957E+04    0.38368E+01    0.88286E+02    0.20850E+07    0.17743E+04
   261    0.53694E+04    0.39569E+01    0.89789E+02    0.20766E+07    0.17599E+04
   262    0.53425E+04    0.40795E+01    0.91280E+02    0.20683E+07    0.17456E+04
   263    0.53155E+04    0.42045E+01    0.92751E+02    0.20600E+07    0.17314E+04
   264    0.52879E+04    0.43319E+01    0.94194E+02    0.20518E+07    0.17173E+04
   265    0.52597E+04    0.44616E+01    0.95604E+02    0.20436E+07    0.17033E+04
   266    0.52313E+04    0.45938E+01    0.97000E+02    0.20354E+07    0.16894E+04
   267    0.52023E+04    0.47282E+01    0.98362E+02    0.20274E+07    0.16757E+04
   268    0.51729E+04    0.48651E+01    0.99704E+02    0.20193E+07    0.16620E+04
   269    0.51430E+04    0.50042E+01    0.10102E+03    0.20113E+07    0.16484E+04
   270    0.51129E+04    0.51457E+01    0.10231E+03    0.20034E+07    0.16349E+04
   271    0.50823E+04    0.52893E+01    0.10356E+03    0.19955E+07    0.16215E+04
   272    0.50516E+04    0.54354E+01    0.10479E+03    0.19877E+07    0.16082E+04
   273    0.50203E+04    0.55833E+01    0.10599E+03    0.19799E+07    0.15950E+04
   274    0.49888E+04    0.57338E+01    0.10716E+03    0.19722E+07    0.15819E+04
   275    0.49569E+04    0.58862E+01    0.10830E+03    0.19645E+07    0.15688E+04
   276    0.49248E+04    0.60407E+01    0.10940E+03    0.19569E+07    0.15559E+04
   277    0.48923E+04    0.61974E+01    0.11048E+03    0.19493E+07    0.15431E+04
   278    0.48596E+04    0.63561E+01    0.11151E+03    0.19418E+07    0.15304E+04
   279    0.48265E+04    0.65169E+01    0.11251E+03    0.19343E+07    0.15177E+04
   280    0.47932E+04    0.66795E+01    0.11350E+03    0.19268E+07    0.15052E+04
   281    0.47597E+04    0.68443E+01    0.11443E+03    0.19194E+07    0.14927E+04
