#           k/h    P           
    0.10000E-03    0.29427E+03
    0.10202E-03    0.30004E+03
    0.10408E-03    0.30591E+03
    0.10618E-03    0.31190E+03
    0.10833E-03    0.31801E+03
    0.11052E-03    0.32424E+03
    0.11275E-03    0.33059E+03
    0.11503E-03    0.33706E+03
    0.11735E-03    0.34366E+03
    0.11972E-03    0.35039E+03
    0.12214E-03    0.35725E+03
    0.12461E-03    0.36425E+03
    0.12712E-03    0.37138E+03
    0.12969E-03    0.37865E+03
    0.13231E-03    0.38606E+03
    0.13499E-03    0.39362E+03
    0.13771E-03    0.40133E+03
    0.14049E-03    0.40918E+03
    0.14333E-03    0.41719E+03
    0.14623E-03    0.42536E+03
    0.14918E-03    0.43369E+03
    0.15220E-03    0.44218E+03
    0.15527E-03    0.45083E+03
    0.15841E-03    0.45966E+03
    0.16161E-03    0.46865E+03
    0.16487E-03    0.47783E+03
    0.16820E-03    0.48718E+03
    0.17160E-03    0.49671E+03
    0.17507E-03    0.50643E+03
    0.17860E-03    0.51635E+03
    0.18221E-03    0.52645E+03
    0.18589E-03    0.53675E+03
    0.18965E-03    0.54725E+03
    0.19348E-03    0.55796E+03
    0.19739E-03    0.56888E+03
    0.20138E-03    0.58001E+03
    0.20544E-03    0.59136E+03
    0.20959E-03    0.60292E+03
    0.21383E-03    0.61472E+03
    0.21815E-03    0.62674E+03
    0.22255E-03    0.63900E+03
    0.22705E-03    0.65150E+03
    0.23164E-03    0.66424E+03
    0.23632E-03    0.67723E+03
    0.24109E-03    0.69047E+03
    0.24596E-03    0.70397E+03
    0.25093E-03    0.71774E+03
    0.25600E-03    0.73177E+03
    0.26117E-03    0.74607E+03
    0.26645E-03    0.76066E+03
    0.27183E-03    0.77552E+03
    0.27732E-03    0.79068E+03
    0.28292E-03    0.80613E+03
    0.28864E-03    0.82188E+03
    0.29447E-03    0.83794E+03
    0.30042E-03    0.85431E+03
    0.30649E-03    0.87099E+03
    0.31268E-03    0.88801E+03
    0.31899E-03    0.90535E+03
    0.32544E-03    0.92302E+03
    0.33201E-03    0.94105E+03
    0.33872E-03    0.95942E+03
    0.34556E-03    0.97814E+03
    0.35254E-03    0.99723E+03
    0.35966E-03    0.10167E+04
    0.36693E-03    0.10365E+04
    0.37434E-03    0.10567E+04
    0.38190E-03    0.10774E+04
    0.38962E-03    0.10984E+04
    0.39749E-03    0.11198E+04
    0.40552E-03    0.11416E+04
    0.41371E-03    0.11639E+04
    0.42207E-03    0.11865E+04
    0.43060E-03    0.12096E+04
    0.43929E-03    0.12332E+04
    0.44817E-03    0.12572E+04
    0.45722E-03    0.12817E+04
    0.46646E-03    0.13066E+04
    0.47588E-03    0.13321E+04
    0.48550E-03    0.13580E+04
    0.49530E-03    0.13844E+04
    0.50531E-03    0.14113E+04
    0.51552E-03    0.14388E+04
    0.52593E-03    0.14667E+04
    0.53656E-03    0.14952E+04
    0.54739E-03    0.15242E+04
    0.55845E-03    0.15538E+04
    0.56973E-03    0.15840E+04
    0.58124E-03    0.16147E+04
    0.59299E-03    0.16460E+04
    0.60496E-03    0.16780E+04
    0.61719E-03    0.17105E+04
    0.62965E-03    0.17436E+04
    0.64237E-03    0.17774E+04
    0.65535E-03    0.18118E+04
    0.66859E-03    0.18468E+04
    0.68210E-03    0.18826E+04
    0.69588E-03    0.19190E+04
    0.70993E-03    0.19560E+04
    0.72427E-03    0.19938E+04
    0.73891E-03    0.20323E+04
    0.75383E-03    0.20715E+04
    0.76906E-03    0.21114E+04
    0.78460E-03    0.21521E+04
    0.80045E-03    0.21936E+04
    0.81662E-03    0.22358E+04
    0.83311E-03    0.22788E+04
    0.84994E-03    0.23226E+04
    0.86711E-03    0.23672E+04
    0.88463E-03    0.24127E+04
    0.90250E-03    0.24590E+04
    0.92073E-03    0.25061E+04
    0.93933E-03    0.25541E+04
    0.95831E-03    0.26030E+04
    0.97767E-03    0.26528E+04
    0.99742E-03    0.27035E+04
    0.10176E-02    0.27551E+04
    0.10381E-02    0.28077E+04
    0.10591E-02    0.28612E+04
    0.10805E-02    0.29157E+04
    0.11023E-02    0.29711E+04
    0.11246E-02    0.30276E+04
    0.11473E-02    0.30851E+04
    0.11705E-02    0.31436E+04
    0.11941E-02    0.32032E+04
    0.12182E-02    0.32638E+04
    0.12429E-02    0.33255E+04
    0.12680E-02    0.33883E+04
    0.12936E-02    0.34521E+04
    0.13197E-02    0.35172E+04
    0.13464E-02    0.35833E+04
    0.13736E-02    0.36506E+04
    0.14013E-02    0.37191E+04
    0.14296E-02    0.37887E+04
    0.14585E-02    0.38596E+04
    0.14880E-02    0.39316E+04
    0.15180E-02    0.40049E+04
    0.15487E-02    0.40795E+04
    0.15800E-02    0.41553E+04
    0.16119E-02    0.42323E+04
    0.16445E-02    0.43107E+04
    0.16777E-02    0.43903E+04
    0.17116E-02    0.44713E+04
    0.17462E-02    0.45536E+04
    0.17814E-02    0.46373E+04
    0.18174E-02    0.47223E+04
    0.18541E-02    0.48087E+04
    0.18916E-02    0.48964E+04
    0.19298E-02    0.49856E+04
    0.19688E-02    0.50761E+04
    0.20086E-02    0.51681E+04
    0.20491E-02    0.52615E+04
    0.20905E-02    0.53564E+04
    0.21328E-02    0.54527E+04
    0.21758E-02    0.55505E+04
    0.22198E-02    0.56497E+04
    0.22646E-02    0.57504E+04
    0.23104E-02    0.58527E+04
    0.23571E-02    0.59564E+04
    0.24047E-02    0.60616E+04
    0.24533E-02    0.61683E+04
    0.25028E-02    0.62765E+04
    0.25534E-02    0.63863E+04
    0.26050E-02    0.64975E+04
    0.26576E-02    0.66103E+04
    0.27113E-02    0.67246E+04
    0.27660E-02    0.68405E+04
    0.28219E-02    0.69578E+04
    0.28789E-02    0.70767E+04
    0.29371E-02    0.71971E+04
    0.29964E-02    0.73191E+04
    0.30569E-02    0.74425E+04
    0.31187E-02    0.75675E+04
    0.31817E-02    0.76939E+04
    0.32460E-02    0.78219E+04
    0.33115E-02    0.79513E+04
    0.33784E-02    0.80822E+04
    0.34467E-02    0.82146E+04
    0.35163E-02    0.83484E+04
    0.35874E-02    0.84836E+04
    0.36598E-02    0.86203E+04
    0.37338E-02    0.87584E+04
    0.38092E-02    0.88978E+04
    0.38861E-02    0.90387E+04
    0.39646E-02    0.91808E+04
    0.40447E-02    0.93243E+04
    0.41264E-02    0.94691E+04
    0.42098E-02    0.96151E+04
    0.42948E-02    0.97624E+04
    0.43816E-02    0.99108E+04
    0.44701E-02    0.10060E+05
    0.45604E-02    0.10211E+05
    0.46525E-02    0.10363E+05
    0.47465E-02    0.10516E+05
    0.48424E-02    0.10670E+05
    0.49402E-02    0.10825E+05
    0.50400E-02    0.10981E+05
    0.51419E-02    0.11138E+05
    0.52457E-02    0.11295E+05
    0.53517E-02    0.11454E+05
    0.54598E-02    0.11613E+05
    0.55701E-02    0.11773E+05
    0.56826E-02    0.11933E+05
    0.57974E-02    0.12094E+05
    0.59145E-02    0.12256E+05
    0.60340E-02    0.12418E+05
    0.61559E-02    0.12580E+05
    0.62803E-02    0.12743E+05
    0.64072E-02    0.12906E+05
    0.65366E-02    0.13069E+05
    0.66686E-02    0.13232E+05
    0.68033E-02    0.13395E+05
    0.69408E-02    0.13558E+05
    0.70810E-02    0.13721E+05
    0.72240E-02    0.13884E+05
    0.73700E-02    0.14046E+05
    0.75189E-02    0.14208E+05
    0.76708E-02    0.14369E+05
    0.78257E-02    0.14530E+05
    0.79838E-02    0.14690E+05
    0.81451E-02    0.14848E+05
    0.83096E-02    0.15006E+05
    0.84775E-02    0.15163E+05
    0.86488E-02    0.15319E+05
    0.88235E-02    0.15473E+05
    0.90017E-02    0.15626E+05
    0.91836E-02    0.15777E+05
    0.93691E-02    0.15926E+05
    0.95583E-02    0.16073E+05
    0.97514E-02    0.16219E+05
    0.99484E-02    0.16362E+05
    0.10149E-01    0.16503E+05
    0.10354E-01    0.16641E+05
    0.10564E-01    0.16776E+05
    0.10777E-01    0.16909E+05
    0.10995E-01    0.17039E+05
    0.11217E-01    0.17166E+05
    0.11443E-01    0.17289E+05
    0.11675E-01    0.17409E+05
    0.11910E-01    0.17525E+05
    0.12151E-01    0.17638E+05
    0.12397E-01    0.17746E+05
    0.12647E-01    0.17850E+05
    0.12902E-01    0.17950E+05
    0.13163E-01    0.18045E+05
    0.13429E-01    0.18136E+05
    0.13700E-01    0.18221E+05
    0.13977E-01    0.18301E+05
    0.14259E-01    0.18376E+05
    0.14547E-01    0.18446E+05
    0.14841E-01    0.18510E+05
    0.15141E-01    0.18567E+05
    0.15447E-01    0.18619E+05
    0.15759E-01    0.18664E+05
    0.16077E-01    0.18703E+05
    0.16402E-01    0.18736E+05
    0.16734E-01    0.18761E+05
    0.17072E-01    0.18779E+05
    0.17416E-01    0.18790E+05
    0.17768E-01    0.18794E+05
    0.18127E-01    0.18791E+05
    0.18493E-01    0.18779E+05
    0.18867E-01    0.18760E+05
    0.19248E-01    0.18734E+05
    0.19637E-01    0.18699E+05
    0.20034E-01    0.18656E+05
    0.20438E-01    0.18604E+05
    0.20851E-01    0.18545E+05
    0.21272E-01    0.18477E+05
    0.21702E-01    0.18401E+05
    0.22141E-01    0.18316E+05
    0.22588E-01    0.18223E+05
    0.23044E-01    0.18122E+05
    0.23510E-01    0.18013E+05
    0.23985E-01    0.17895E+05
    0.24469E-01    0.17769E+05
    0.24964E-01    0.17635E+05
    0.25468E-01    0.17493E+05
    0.25982E-01    0.17344E+05
    0.26507E-01    0.17187E+05
    0.27043E-01    0.17023E+05
    0.27589E-01    0.16852E+05
    0.28146E-01    0.16674E+05
    0.28715E-01    0.16490E+05
    0.29295E-01    0.16300E+05
    0.29887E-01    0.16104E+05
    0.30490E-01    0.15904E+05
    0.31106E-01    0.15698E+05
    0.31735E-01    0.15488E+05
    0.32376E-01    0.15275E+05
    0.33030E-01    0.15058E+05
    0.33697E-01    0.14839E+05
    0.34378E-01    0.14618E+05
    0.35072E-01    0.14395E+05
    0.35781E-01    0.14171E+05
    0.36504E-01    0.13947E+05
    0.37241E-01    0.13723E+05
    0.37993E-01    0.13500E+05
    0.38761E-01    0.13278E+05
    0.39544E-01    0.13058E+05
    0.40343E-01    0.12841E+05
    0.41158E-01    0.12627E+05
    0.41989E-01    0.12417E+05
    0.42838E-01    0.12210E+05
    0.43703E-01    0.12009E+05
    0.44586E-01    0.11812E+05
    0.45486E-01    0.11620E+05
    0.46405E-01    0.11434E+05
    0.47343E-01    0.11253E+05
    0.48299E-01    0.11078E+05
    0.49275E-01    0.10909E+05
    0.50270E-01    0.10746E+05
    0.51286E-01    0.10589E+05
    0.52322E-01    0.10437E+05
    0.53379E-01    0.10290E+05
    0.54457E-01    0.10148E+05
    0.55557E-01    0.10010E+05
    0.56680E-01    0.98760E+04
    0.57825E-01    0.97447E+04
    0.58993E-01    0.96156E+04
    0.60184E-01    0.94878E+04
    0.61400E-01    0.93605E+04
    0.62641E-01    0.92326E+04
    0.63906E-01    0.91032E+04
    0.65197E-01    0.89712E+04
    0.66514E-01    0.88358E+04
    0.67858E-01    0.86961E+04
    0.69229E-01    0.85511E+04
    0.70627E-01    0.84001E+04
    0.72054E-01    0.82427E+04
    0.73510E-01    0.80783E+04
    0.74994E-01    0.79068E+04
    0.76509E-01    0.77282E+04
    0.78055E-01    0.75429E+04
    0.79632E-01    0.73513E+04
    0.81241E-01    0.71542E+04
    0.82882E-01    0.69528E+04
    0.84556E-01    0.67483E+04
    0.86264E-01    0.65421E+04
    0.88007E-01    0.63361E+04
    0.89785E-01    0.61318E+04
    0.91598E-01    0.59311E+04
    0.93449E-01    0.57358E+04
    0.95337E-01    0.55476E+04
    0.97263E-01    0.53679E+04
    0.99227E-01    0.51981E+04
    0.10123E+00    0.50392E+04
    0.10328E+00    0.48919E+04
    0.10536E+00    0.47565E+04
    0.10749E+00    0.46328E+04
    0.10966E+00    0.45204E+04
    0.11188E+00    0.44182E+04
    0.11414E+00    0.43249E+04
    0.11644E+00    0.42388E+04
    0.11880E+00    0.41577E+04
    0.12120E+00    0.40795E+04
    0.12365E+00    0.40019E+04
    0.12614E+00    0.39225E+04
    0.12869E+00    0.38393E+04
    0.13129E+00    0.37506E+04
    0.13394E+00    0.36552E+04
    0.13665E+00    0.35526E+04
