# L    TT    EE    TE    PP    TP
2 8.39550E+02 8.56942E-07 1.87187E-02 6.50698E+05 2.45016E+04
3 7.84508E+02 4.03619E-06 4.31090E-02 9.99682E+05 2.84251E+04
4 7.40514E+02 1.15966E-05 7.38822E-02 1.30779E+06 3.00258E+04
5 7.09930E+02 2.61096E-05 1.10374E-01 1.57770E+06 3.04646E+04
6 6.89788E+02 5.06184E-05 1.52061E-01 1.81369E+06 3.02927E+04
7 6.77193E+02 8.85969E-05 1.98425E-01 2.02081E+06 2.97896E+04
8 6.69818E+02 1.43881E-04 2.48862E-01 2.20341E+06 2.91055E+04
9 6.66470E+02 2.20748E-04 3.02909E-01 2.36484E+06 2.83255E+04
10 6.66226E+02 3.23585E-04 3.59987E-01 2.50780E+06 2.74940E+04
11 6.68280E+02 4.57440E-04 4.19608E-01 2.63521E+06 2.66597E+04
12 6.72587E+02 6.27344E-04 4.81645E-01 2.74777E+06 2.58227E+04
13 6.78324E+02 8.38573E-04 5.44921E-01 2.84857E+06 2.50219E+04
14 6.85291E+02 1.09632E-03 6.09148E-01 2.93788E+06 2.42356E+04
15 6.93272E+02 1.40687E-03 6.73736E-01 3.01769E+06 2.34819E+04
16 7.02438E+02 1.77623E-03 7.38913E-01 3.08881E+06 2.27507E+04
17 7.12346E+02 2.21074E-03 8.03465E-01 3.15151E+06 2.20513E+04
18 7.22680E+02 2.71519E-03 8.66687E-01 3.20743E+06 2.13844E+04
19 7.34379E+02 3.29910E-03 9.29285E-01 3.25702E+06 2.07519E+04
20 7.46405E+02 3.96561E-03 9.90000E-01 3.30045E+06 2.01411E+04
21 7.58928E+02 4.72216E-03 1.04836E+00 3.33855E+06 1.95584E+04
22 7.71895E+02 5.57544E-03 1.10410E+00 3.37194E+06 1.90028E+04
23 7.85277E+02 6.53223E-03 1.15649E+00 3.40098E+06 1.84726E+04
24 7.99122E+02 7.59833E-03 1.20499E+00 3.42569E+06 1.79686E+04
25 8.13346E+02 8.78079E-03 1.24960E+00 3.44686E+06 1.74863E+04
26 8.27914E+02 1.00864E-02 1.29023E+00 3.46468E+06 1.70230E+04
27 8.42835E+02 1.15206E-02 1.32606E+00 3.47925E+06 1.65796E+04
28 8.58009E+02 1.30914E-02 1.35629E+00 3.49111E+06 1.61571E+04
