#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.848247E+07   0.848247E+07   0.111926E+08   0.111922E+08   0.848728E+07   0.848251E+07   0.848247E+07   0.848850E+07  -0.590330E+00   0.807595E+07   0.807595E+07   0.121517E+00
   0.798228E-04   0.848236E+07   0.848236E+07   0.111635E+08   0.111629E+08   0.848634E+07   0.848240E+07   0.848236E+07   0.848836E+07  -0.590321E+00   0.807584E+07   0.807584E+07   0.135777E+00
   0.892035E-04   0.848222E+07   0.848222E+07   0.111271E+08   0.111265E+08   0.848517E+07   0.848225E+07   0.848222E+07   0.848820E+07  -0.590308E+00   0.807570E+07   0.807570E+07   0.151705E+00
   0.996866E-04   0.848205E+07   0.848205E+07   0.110819E+08   0.110811E+08   0.848372E+07   0.848207E+07   0.848205E+07   0.848799E+07  -0.590294E+00   0.807553E+07   0.807553E+07   0.169493E+00
   0.111402E-03   0.848184E+07   0.848184E+07   0.110257E+08   0.110247E+08   0.848190E+07   0.848184E+07   0.848184E+07   0.848773E+07  -0.590275E+00   0.807532E+07   0.807532E+07   0.189355E+00
   0.124493E-03   0.848157E+07   0.848157E+07   0.109559E+08   0.109546E+08   0.847963E+07   0.848155E+07   0.848157E+07   0.848741E+07  -0.590252E+00   0.807506E+07   0.807506E+07   0.211530E+00
   0.139124E-03   0.848123E+07   0.848123E+07   0.108693E+08   0.108677E+08   0.847680E+07   0.848119E+07   0.848123E+07   0.848700E+07  -0.590222E+00   0.807473E+07   0.807473E+07   0.236280E+00
   0.155474E-03   0.848081E+07   0.848081E+07   0.107620E+08   0.107601E+08   0.847327E+07   0.848075E+07   0.848081E+07   0.848650E+07  -0.590186E+00   0.807431E+07   0.807431E+07   0.263896E+00
   0.173745E-03   0.848029E+07   0.848029E+07   0.106294E+08   0.106271E+08   0.846887E+07   0.848020E+07   0.848029E+07   0.848588E+07  -0.590141E+00   0.807380E+07   0.807380E+07   0.294698E+00
   0.194163E-03   0.847964E+07   0.847964E+07   0.104660E+08   0.104631E+08   0.846338E+07   0.847950E+07   0.847964E+07   0.848510E+07  -0.590085E+00   0.807316E+07   0.807316E+07   0.329039E+00
   0.216981E-03   0.847883E+07   0.847882E+07   0.102653E+08   0.102618E+08   0.845655E+07   0.847864E+07   0.847883E+07   0.848413E+07  -0.590015E+00   0.807236E+07   0.807236E+07   0.367302E+00
   0.242480E-03   0.847782E+07   0.847781E+07   0.100197E+08   0.100155E+08   0.844805E+07   0.847757E+07   0.847782E+07   0.848292E+07  -0.589928E+00   0.807136E+07   0.807136E+07   0.409905E+00
   0.270976E-03   0.847656E+07   0.847655E+07   0.972082E+07   0.971574E+07   0.843747E+07   0.847623E+07   0.847656E+07   0.848142E+07  -0.589820E+00   0.807012E+07   0.807012E+07   0.457301E+00
   0.302821E-03   0.847500E+07   0.847498E+07   0.935942E+07   0.935340E+07   0.842434E+07   0.847457E+07   0.847499E+07   0.847957E+07  -0.589686E+00   0.806858E+07   0.806858E+07   0.509973E+00
   0.338408E-03   0.847305E+07   0.847304E+07   0.892601E+07   0.891898E+07   0.840804E+07   0.847250E+07   0.847305E+07   0.847727E+07  -0.589520E+00   0.806666E+07   0.806666E+07   0.568434E+00
   0.378178E-03   0.847064E+07   0.847062E+07   0.841163E+07   0.840355E+07   0.838784E+07   0.846993E+07   0.847063E+07   0.847443E+07  -0.589315E+00   0.806428E+07   0.806428E+07   0.633220E+00
   0.422621E-03   0.846764E+07   0.846762E+07   0.780912E+07   0.780006E+07   0.836287E+07   0.846675E+07   0.846764E+07   0.847093E+07  -0.589062E+00   0.806132E+07   0.806132E+07   0.704887E+00
