#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.187442E+08   0.187442E+08   0.243636E+08   0.243627E+08   0.187430E+08   0.187442E+08   0.187442E+08   0.187482E+08  -0.469683E+00   0.972472E+07   0.972472E+07   0.393984E-01
   0.798228E-04   0.187440E+08   0.187440E+08   0.242091E+08   0.242080E+08   0.187423E+08   0.187439E+08   0.187440E+08   0.187479E+08  -0.469676E+00   0.972458E+07   0.972458E+07   0.440155E-01
   0.892035E-04   0.187437E+08   0.187437E+08   0.240175E+08   0.240160E+08   0.187413E+08   0.187436E+08   0.187437E+08   0.187476E+08  -0.469667E+00   0.972442E+07   0.972442E+07   0.491700E-01
   0.996866E-04   0.187433E+08   0.187433E+08   0.237800E+08   0.237782E+08   0.187402E+08   0.187432E+08   0.187433E+08   0.187472E+08  -0.469655E+00   0.972422E+07   0.972422E+07   0.549233E-01
   0.111402E-03   0.187428E+08   0.187428E+08   0.234865E+08   0.234843E+08   0.187387E+08   0.187428E+08   0.187428E+08   0.187466E+08  -0.469641E+00   0.972397E+07   0.972397E+07   0.613428E-01
   0.124493E-03   0.187422E+08   0.187422E+08   0.231246E+08   0.231219E+08   0.187368E+08   0.187422E+08   0.187422E+08   0.187460E+08  -0.469623E+00   0.972365E+07   0.972365E+07   0.685031E-01
   0.139124E-03   0.187415E+08   0.187415E+08   0.226798E+08   0.226765E+08   0.187346E+08   0.187414E+08   0.187415E+08   0.187452E+08  -0.469601E+00   0.972326E+07   0.972326E+07   0.764860E-01
   0.155474E-03   0.187406E+08   0.187406E+08   0.221353E+08   0.221313E+08   0.187317E+08   0.187405E+08   0.187406E+08   0.187441E+08  -0.469573E+00   0.972277E+07   0.972277E+07   0.853811E-01
   0.173745E-03   0.187394E+08   0.187394E+08   0.214721E+08   0.214673E+08   0.187281E+08   0.187393E+08   0.187394E+08   0.187428E+08  -0.469538E+00   0.972216E+07   0.972216E+07   0.952856E-01
   0.194163E-03   0.187380E+08   0.187380E+08   0.206695E+08   0.206638E+08   0.187237E+08   0.187378E+08   0.187380E+08   0.187413E+08  -0.469496E+00   0.972141E+07   0.972141E+07   0.106305E+00
   0.216981E-03   0.187363E+08   0.187362E+08   0.197058E+08   0.196992E+08   0.187182E+08   0.187360E+08   0.187363E+08   0.187393E+08  -0.469443E+00   0.972046E+07   0.972046E+07   0.118552E+00
   0.242480E-03   0.187341E+08   0.187341E+08   0.185605E+08   0.185528E+08   0.187113E+08   0.187338E+08   0.187341E+08   0.187368E+08  -0.469377E+00   0.971929E+07   0.971929E+07   0.132147E+00
   0.270976E-03   0.187313E+08   0.187313E+08   0.172164E+08   0.172078E+08   0.187027E+08   0.187310E+08   0.187313E+08   0.187338E+08  -0.469296E+00   0.971783E+07   0.971783E+07   0.147216E+00
   0.302821E-03   0.187280E+08   0.187279E+08   0.156645E+08   0.156552E+08   0.186920E+08   0.187275E+08   0.187280E+08   0.187301E+08  -0.469197E+00   0.971602E+07   0.971602E+07   0.163890E+00
   0.338408E-03   0.187238E+08   0.187238E+08   0.139094E+08   0.138996E+08   0.186788E+08   0.187232E+08   0.187238E+08   0.187255E+08  -0.469074E+00   0.971378E+07   0.971378E+07   0.182303E+00
   0.378178E-03   0.187186E+08   0.187186E+08   0.119765E+08   0.119669E+08   0.186623E+08   0.187179E+08   0.187186E+08   0.187199E+08  -0.468924E+00   0.971101E+07   0.971101E+07   0.202592E+00
   0.422621E-03   0.187122E+08   0.187122E+08   0.991985E+07   0.991108E+07   0.186420E+08   0.187114E+08   0.187122E+08   0.187130E+08  -0.468741E+00   0.970759E+07   0.970759E+07   0.224892E+00
   0.472287E-03   0.187043E+08   0.187043E+08   0.782786E+07   0.782092E+07   0.186167E+08   0.187033E+08   0.187043E+08   0.187046E+08  -0.468519E+00   0.970338E+07   0.970338E+07   0.249340E+00
   0.527790E-03   0.186947E+08   0.186947E+08   0.582354E+07   0.581935E+07   0.185856E+08   0.186934E+08   0.186947E+08   0.186944E+08  -0.468251E+00   0.969822E+07   0.969822E+07   0.276074E+00
   0.589815E-03   0.186829E+08   0.186829E+08   0.405283E+07   0.405201E+07   0.185473E+08   0.186813E+08   0.186829E+08   0.186820E+08  -0.467927E+00   0.969191E+07   0.969191E+07   0.305239E+00
   0.659130E-03   0.186686E+08   0.186685E+08   0.265579E+07   0.265816E+07   0.185003E+08   0.186666E+08   0.186686E+08   0.186670E+08  -0.467539E+00   0.968422E+07   0.968422E+07   0.336997E+00
   0.736590E-03   0.186512E+08   0.186511E+08   0.171975E+07   0.172402E+07   0.184429E+08   0.186487E+08   0.186512E+08   0.186490E+08  -0.467074E+00   0.967490E+07   0.967490E+07   0.371539E+00
   0.823153E-03   0.186301E+08   0.186300E+08   0.122733E+07   0.123119E+07   0.183729E+08   0.186270E+08   0.186301E+08   0.186272E+08  -0.466520E+00   0.966364E+07   0.966363E+07   0.409097E+00
   0.919889E-03   0.186047E+08   0.186046E+08   0.103272E+07   0.103388E+07   0.182882E+08   0.186010E+08   0.186047E+08   0.186011E+08  -0.465858E+00   0.965009E+07   0.965009E+07   0.449951E+00
   0.102799E-02   0.185743E+08   0.185742E+08   0.911197E+06   0.909148E+06   0.181863E+08   0.185697E+08   0.185743E+08   0.185698E+08  -0.465069E+00   0.963387E+07   0.963387E+07   0.494419E+00
   0.114880E-02   0.185379E+08   0.185377E+08   0.694558E+06   0.691708E+06   0.180642E+08   0.185323E+08   0.185379E+08   0.185324E+08  -0.464127E+00   0.961449E+07   0.961449E+07   0.542843E+00
   0.128381E-02   0.184945E+08   0.184943E+08   0.405663E+06   0.405430E+06   0.179188E+08   0.184876E+08   0.184945E+08   0.184877E+08  -0.463006E+00   0.959142E+07   0.959142E+07   0.595566E+00
   0.143468E-02   0.184429E+08   0.184427E+08   0.215578E+06   0.217825E+06   0.177476E+08   0.184346E+08   0.184429E+08   0.184347E+08  -0.461675E+00   0.956404E+07   0.956404E+07   0.652937E+00
   0.160328E-02   0.183819E+08   0.183816E+08   0.186904E+06   0.187379E+06   0.175477E+08   0.183720E+08   0.183818E+08   0.183720E+08  -0.460102E+00   0.953166E+07   0.953165E+07   0.715337E+00
   0.179170E-02   0.183100E+08   0.183096E+08   0.158961E+06   0.157120E+06   0.173172E+08   0.182981E+08   0.183099E+08   0.182982E+08  -0.458252E+00   0.949354E+07   0.949353E+07   0.783191E+00
   0.200226E-02   0.182256E+08   0.182251E+08   0.648014E+05   0.654174E+05   0.170544E+08   0.182116E+08   0.182255E+08   0.182117E+08  -0.456084E+00   0.944888E+07   0.944888E+07   0.856954E+00
   0.223756E-02   0.181272E+08   0.181266E+08   0.464144E+05   0.469924E+05   0.167586E+08   0.181109E+08   0.181271E+08   0.181109E+08  -0.453559E+00   0.939685E+07   0.939685E+07   0.937094E+00
   0.250052E-02   0.180131E+08   0.180123E+08   0.397189E+05   0.376540E+05   0.164294E+08   0.179942E+08   0.180129E+08   0.179942E+08  -0.450635E+00   0.933659E+07   0.933658E+07   0.102412E+01
   0.279438E-02   0.178815E+08   0.178806E+08   0.895992E+04   0.727816E+04   0.160668E+08   0.178598E+08   0.178814E+08   0.178598E+08  -0.447270E+00   0.926724E+07   0.926722E+07   0.111856E+01
   0.312277E-02   0.177309E+08   0.177298E+08   0.172792E+05   0.120866E+05   0.156703E+08   0.177062E+08   0.177307E+08   0.177062E+08  -0.443423E+00   0.918793E+07   0.918792E+07   0.122098E+01
   0.348976E-02   0.175595E+08   0.175581E+08  -0.212220E+04  -0.185073E+04   0.152384E+08   0.175318E+08   0.175593E+08   0.175318E+08  -0.439052E+00   0.909782E+07   0.909781E+07   0.133194E+01
   0.389987E-02   0.173658E+08   0.173641E+08  -0.289008E+04  -0.312477E+04   0.147691E+08   0.173347E+08   0.173655E+08   0.173347E+08  -0.434118E+00   0.899608E+07   0.899606E+07   0.145204E+01
   0.435818E-02   0.171481E+08   0.171460E+08  -0.207340E+03  -0.132921E+04   0.142604E+08   0.171135E+08   0.171478E+08   0.171135E+08  -0.428577E+00   0.888185E+07   0.888183E+07   0.158183E+01
   0.487035E-02   0.169048E+08   0.169022E+08  -0.383879E+04  -0.432864E+04   0.137112E+08   0.168665E+08   0.169044E+08   0.168665E+08  -0.422391E+00   0.875430E+07   0.875427E+07   0.172185E+01
   0.492476E-02   0.168790E+08   0.168763E+08  -0.251629E+04  -0.348919E+04   0.136541E+08   0.168403E+08   0.168786E+08   0.168403E+08  -0.421736E+00   0.874078E+07   0.874075E+07   0.173643E+01
   0.497979E-02   0.168529E+08   0.168502E+08  -0.163326E+04  -0.302245E+04   0.135966E+08   0.168139E+08   0.168525E+08   0.168139E+08  -0.421073E+00   0.872711E+07   0.872708E+07   0.175111E+01
   0.503543E-02   0.168266E+08   0.168238E+08  -0.140617E+04  -0.305236E+04   0.135386E+08   0.167871E+08   0.168261E+08   0.167871E+08  -0.420404E+00   0.871330E+07   0.871328E+07   0.176591E+01
