#           k/h    P           
    0.42098E-02    0.21027E+02
    0.42948E-02    0.21292E+02
    0.43816E-02    0.21556E+02
    0.44701E-02    0.21820E+02
    0.45604E-02    0.22084E+02
    0.46525E-02    0.22346E+02
    0.47465E-02    0.22608E+02
    0.48424E-02    0.22869E+02
    0.49402E-02    0.23129E+02
    0.50400E-02    0.23387E+02
    0.51419E-02    0.23644E+02
    0.52457E-02    0.23899E+02
    0.53517E-02    0.24153E+02
    0.54598E-02    0.24405E+02
    0.55701E-02    0.24655E+02
    0.56826E-02    0.24903E+02
    0.57974E-02    0.25148E+02
    0.59145E-02    0.25391E+02
    0.60340E-02    0.25631E+02
    0.61559E-02    0.25868E+02
    0.62803E-02    0.26102E+02
    0.64072E-02    0.26333E+02
    0.65366E-02    0.26560E+02
    0.66686E-02    0.26784E+02
    0.68033E-02    0.27003E+02
    0.69408E-02    0.27218E+02
    0.70810E-02    0.27429E+02
    0.72240E-02    0.27635E+02
    0.73700E-02    0.27836E+02
    0.75189E-02    0.28031E+02
    0.76708E-02    0.28221E+02
    0.78257E-02    0.28404E+02
    0.79838E-02    0.28582E+02
    0.81451E-02    0.28753E+02
    0.83096E-02    0.28917E+02
    0.84775E-02    0.29075E+02
    0.86488E-02    0.29224E+02
    0.88235E-02    0.29366E+02
    0.90017E-02    0.29500E+02
    0.91836E-02    0.29626E+02
    0.93691E-02    0.29744E+02
    0.95583E-02    0.29852E+02
    0.97514E-02    0.29952E+02
    0.99484E-02    0.30042E+02
    0.10149E-01    0.30122E+02
    0.10354E-01    0.30193E+02
    0.10564E-01    0.30253E+02
    0.10777E-01    0.30303E+02
    0.10995E-01    0.30343E+02
    0.11217E-01    0.30371E+02
    0.11443E-01    0.30388E+02
    0.11675E-01    0.30393E+02
    0.11910E-01    0.30387E+02
    0.12151E-01    0.30368E+02
    0.12397E-01    0.30337E+02
    0.12647E-01    0.30293E+02
    0.12902E-01    0.30236E+02
    0.13163E-01    0.30165E+02
    0.13429E-01    0.30082E+02
    0.13700E-01    0.29984E+02
    0.13977E-01    0.29872E+02
    0.14259E-01    0.29746E+02
    0.14547E-01    0.29605E+02
    0.14841E-01    0.29450E+02
    0.15141E-01    0.29281E+02
    0.15447E-01    0.29096E+02
    0.15759E-01    0.28897E+02
    0.16077E-01    0.28683E+02
    0.16402E-01    0.28453E+02
    0.16734E-01    0.28209E+02
    0.17072E-01    0.27950E+02
    0.17416E-01    0.27677E+02
    0.17768E-01    0.27388E+02
    0.18127E-01    0.27086E+02
    0.18493E-01    0.26768E+02
    0.18867E-01    0.26437E+02
    0.19248E-01    0.26093E+02
    0.19637E-01    0.25734E+02
    0.20034E-01    0.25363E+02
    0.20438E-01    0.24979E+02
    0.20851E-01    0.24583E+02
    0.21272E-01    0.24175E+02
    0.21702E-01    0.23756E+02
    0.22141E-01    0.23326E+02
    0.22588E-01    0.22887E+02
    0.23044E-01    0.22440E+02
    0.23510E-01    0.21984E+02
    0.23985E-01    0.21522E+02
    0.24469E-01    0.21054E+02
    0.24964E-01    0.20581E+02
    0.25468E-01    0.20104E+02
    0.25982E-01    0.19624E+02
    0.26507E-01    0.19142E+02
    0.27043E-01    0.18659E+02
    0.27589E-01    0.18177E+02
    0.28146E-01    0.17696E+02
    0.28715E-01    0.17219E+02
    0.29295E-01    0.16745E+02
    0.29887E-01    0.16278E+02
    0.30490E-01    0.15817E+02
    0.31106E-01    0.15363E+02
    0.31735E-01    0.14919E+02
    0.32376E-01    0.14485E+02
    0.33030E-01    0.14062E+02
    0.33697E-01    0.13651E+02
    0.34378E-01    0.13253E+02
    0.35072E-01    0.12869E+02
    0.35781E-01    0.12501E+02
    0.36504E-01    0.12147E+02
    0.37241E-01    0.11810E+02
    0.37993E-01    0.11490E+02
    0.38761E-01    0.11186E+02
    0.39544E-01    0.10900E+02
    0.40343E-01    0.10631E+02
    0.41158E-01    0.10380E+02
    0.41989E-01    0.10146E+02
    0.42838E-01    0.99296E+01
    0.43703E-01    0.97293E+01
    0.44586E-01    0.95451E+01
    0.45486E-01    0.93761E+01
    0.46405E-01    0.92214E+01
    0.47343E-01    0.90800E+01
    0.48299E-01    0.89505E+01
    0.49275E-01    0.88315E+01
    0.50270E-01    0.87213E+01
    0.51286E-01    0.86181E+01
    0.52322E-01    0.85200E+01
    0.53379E-01    0.84250E+01
    0.54457E-01    0.83308E+01
    0.55557E-01    0.82352E+01
    0.56680E-01    0.81358E+01
    0.57825E-01    0.80305E+01
    0.58993E-01    0.79170E+01
    0.60184E-01    0.77932E+01
    0.61400E-01    0.76574E+01
    0.62641E-01    0.75081E+01
    0.63906E-01    0.73442E+01
    0.65197E-01    0.71649E+01
    0.66514E-01    0.69701E+01
    0.67858E-01    0.67603E+01
