#    L    TT             EE             TE             PP             TP          
     2    0.10039E+04    0.12514E-05    0.27197E-01    0.99897E+06    0.27910E+05
     3    0.96547E+03    0.59206E-05    0.61843E-01    0.15344E+07    0.32911E+05
     4    0.92982E+03    0.17063E-04    0.10567E+00    0.20086E+07    0.35129E+05
     5    0.90461E+03    0.38511E-04    0.15785E+00    0.24255E+07    0.35910E+05
     6    0.88862E+03    0.74808E-04    0.21766E+00    0.27915E+07    0.35912E+05
     7    0.87965E+03    0.13115E-03    0.28443E+00    0.31141E+07    0.35473E+05
     8    0.87550E+03    0.21329E-03    0.35728E+00    0.33995E+07    0.34782E+05
     9    0.87527E+03    0.32765E-03    0.43564E+00    0.36532E+07    0.33943E+05
    10    0.87800E+03    0.48082E-03    0.51861E+00    0.38787E+07    0.33022E+05
    11    0.88298E+03    0.68038E-03    0.60561E+00    0.40805E+07    0.32078E+05
    12    0.89034E+03    0.93388E-03    0.69642E+00    0.42598E+07    0.31116E+05
    13    0.89897E+03    0.12493E-02    0.78938E+00    0.44211E+07    0.30187E+05
    14    0.90877E+03    0.16344E-02    0.88404E+00    0.45646E+07    0.29267E+05
    15    0.91952E+03    0.20986E-02    0.97961E+00    0.46937E+07    0.28380E+05
    16    0.93155E+03    0.26511E-02    0.10764E+01    0.48094E+07    0.27513E+05
    17    0.94430E+03    0.33012E-02    0.11728E+01    0.49121E+07    0.26680E+05
    18    0.95737E+03    0.40563E-02    0.12678E+01    0.50044E+07    0.25882E+05
    19    0.97194E+03    0.49306E-02    0.13621E+01    0.50867E+07    0.25127E+05
    20    0.98677E+03    0.59287E-02    0.14543E+01    0.51596E+07    0.24394E+05
    21    0.10021E+04    0.70618E-02    0.15433E+01    0.52241E+07    0.23696E+05
    22    0.10178E+04    0.83400E-02    0.16290E+01    0.52814E+07    0.23028E+05
    23    0.10339E+04    0.97733E-02    0.17107E+01    0.53319E+07    0.22390E+05
    24    0.10505E+04    0.11371E-01    0.17868E+01    0.53756E+07    0.21785E+05
    25    0.10674E+04    0.13142E-01    0.18577E+01    0.54139E+07    0.21208E+05
